Pokemon,No.,Caught?,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Pal Park,Pokéwalker
Chikorita,#0152,False,Trade,Trade,Trade,First partner Pokémon from Professor Elm in New Bark Town,First partner Pokémon from Professor Elm in New Bark Town,Field,
Bayleef,#0153,False,Trade,Trade,Trade,Evolve Chikorita,Evolve Chikorita,Field,
Meganium,#0154,False,Trade,Trade,Trade,Evolve Bayleef,Evolve Bayleef,Field,
Cyndaquil,#0155,False,Trade,Trade,Trade,First partner Pokémon from Professor Elm in New Bark Town,First partner Pokémon from Professor Elm in New Bark Town,Field,
Quilava,#0156,False,Trade,Trade,Trade,Evolve Cyndaquil,Evolve Cyndaquil,Field,
Typhlosion,#0157,False,Trade,Trade,Trade,Evolve Quilava,Evolve Quilava,Field,
Totodile,#0158,False,Trade,Trade,Trade,First partner Pokémon from Professor Elm in New Bark Town,First partner Pokémon from Professor Elm in New Bark Town,Pond,
Croconaw,#0159,False,Trade,Trade,Trade,Evolve Totodile,Evolve Totodile,Pond,
Feraligatr,#0160,False,Trade,Trade,Trade,Evolve Croconaw,Evolve Croconaw,Mountain,
Sentret,#0161,False,Route 202 (Poké Radar),Route 202 (Poké Radar),Route 202 (Poké Radar),"Routes 1 and 29 Safari Zone (tall grass in Swamp, default; tall grass in Wetland, default Morning Day)","Routes 1 and 29 Safari Zone (tall grass in Swamp, default; tall grass in Wetland, default Morning Day)",Field,Refreshing Field
Furret,#0162,False,Evolve Sentret,Evolve Sentret,Evolve Sentret,Route 1 Morning Day Safari Zone (tall grass in Swamp with 5 Plains points; tall grass in Wetland with 2 Plains points),Route 1 Morning Day Safari Zone (tall grass in Swamp with 5 Plains points; tall grass in Wetland with 2 Plains points),Field,Town Outskirts
Hoothoot,#0163,False,"Routes 210, 211, Great Marsh Night","Routes 210, 211, Great Marsh Night","Routes 205, 210, 211, Great Marsh, Eterna Forest Night","Routes 29, 30, 31, 35, 36, 37, National Park, Viridian Forest Night Routes 1, 2, 3, 4, 5, 6, 8, 12, 13, 14, 15, 18, 21, 22, 25, 26, 27, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 43, 47, 48, Ilex Forest, National Park, Lake of Rage, New Bark Town, Cherrygrove City, Violet City, Ecruteak City, Pallet Town, Viridian City, Pewter City, Cerulean City, Fuchsia City, Safari Zone Gate, Viridian Forest (Headbutt trees)","Routes 29, 30, 31, 35, 36, 37, National Park, Viridian Forest Night Routes 1, 2, 3, 4, 5, 6, 8, 12, 13, 14, 15, 18, 21, 22, 25, 26, 27, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 43, 47, 48, Ilex Forest, National Park, Lake of Rage, New Bark Town, Cherrygrove City, Violet City, Ecruteak City, Pallet Town, Viridian City, Pewter City, Cerulean City, Fuchsia City, Safari Zone Gate, Viridian Forest (Headbutt trees)",Forest,"Rugged Road, Suburban Area, and Night Sky's Edge"
Noctowl,#0164,False,"Routes 210, 211, 216, and 217, Acuity Lakefront, Lake Acuity, Mt. Coronet, Great Marsh, Lake Valor, Sendoff Spring Night","Routes 210, 211, 216, and 217, Acuity Lakefront, Lake Acuity, Mt. Coronet, Great Marsh, Lake Valor, Sendoff Spring Night","Routes 210, 211, Great Marsh, Mt. Coronet Night","Routes 2, 8, 13, 14, 15, 43, 47, Viridian Forest Night Ilex Forest, Viridian Forest (Headbutt trees)","Routes 2, 8, 13, 14, 15, 43, 47, Viridian Forest Night Ilex Forest, Viridian Forest (Headbutt trees)",Forest,Quiet Cave
Ledyba,#0165,False,Breed Ledian,Breed Ledian,Breed Ledian,Trade,"Route 2 Morning Day Routes 30, 31, and 37 Morning Routes 1, 2, 12, 13, 14, 15, 18, 21, 22, 26, 27, 29, 30, 31, 34, 35, 36, 37, 38, 39, 47, and 48, New Bark Town, Cherrygrove City, National Park, Safari Zone Gate, Ecruteak City, Pallet Town, Viridian Forest, Viridian City, Fuchsia City (Headbutt trees)",Field,
Ledian,#0166,False,Route 229 Morning,Route 229 Morning,Route 229 Morning,Trade,Route 2 Morning Viridian Forest (Headbutt),Field,
Spinarak,#0167,False,Breed Ariados,Breed Ariados,Breed Ariados,"Route 2 Morning Night Routes 30, 31, and 37 Night Routes 1, 2, 12, 13, 14, 15, 18, 21, 22, 26, 27, 29, 30, 31, 34, 35, 36, 37, 38, 39, 47, and 48, New Bark Town, Cherrygrove City, National Park, Safari Zone Gate, Ecruteak City, Pallet Town, Viridian Forest, Viridian City, Fuchsia City (Headbutt trees)",Trade,Field,
Ariados,#0168,False,Route 229 Night,Route 229 Night,Route 229 Night,Route 2 Night Viridian Forest (Headbutt trees),Trade,Field,
Crobat,#0169,False,Evolve Golbat,Evolve Golbat,Evolve Golbat,Evolve Golbat,Evolve Golbat,Mountain,
Chinchou,#0170,False,Route 220 (Super Rod),Route 220 (Super Rod),Route 220 (Super Rod),"Routes 20, 21, 26, 27, 41, and 47, New Bark Town, Pallet Town, Vermilion City, Cinnabar Island (Good Rod or Super Rod)","Routes 20, 21, 26, 27, 41, and 47, New Bark Town, Pallet Town, Vermilion City, Cinnabar Island (Good Rod or Super Rod)",Sea,White Lake and Beyond the Sea
Lanturn,#0171,False,Route 220 (Super Rod),Route 220 (Super Rod),Evolve Chinchou,"Routes 20, 21, 26, 27, 41, and 47, New Bark Town, Pallet Town, Vermilion City, Cinnabar Island (Super Rod)","Routes 20, 21, 26, 27, 41, and 47, New Bark Town, Pallet Town, Vermilion City, Cinnabar Island (Super Rod)",Sea,
Pichu,#0172,False,Trophy Garden,Trophy Garden,Trophy Garden,Breed Pikachu or Raichu,Breed Pikachu or Raichu,Field,
Cleffa,#0173,False,"Mt. Coronet, Trophy Garden","Mt. Coronet, Trophy Garden","Mt. Coronet, Trophy Garden",Breed Clefairy or Clefable,Breed Clefairy or Clefable,Field,Amity Meadow
Igglybuff,#0174,False,Trophy Garden,Trophy Garden,Trophy Garden,Breed Jigglypuff or Wigglytuff,Breed Jigglypuff or Wigglytuff,Field,Amity Meadow
Togepi,#0175,False,Route 230 (Poké Radar),Route 230 (Poké Radar),Hatch Egg received from Cynthia in Eterna City Route 230 (Poké Radar),Hatch Egg received from Professor Elm's assistant in the Poké Mart in Violet City,Hatch Egg received from Professor Elm's assistant in the Poké Mart in Violet City,Field,
Togetic,#0176,False,Evolve Togepi,Evolve Togepi,Evolve Togepi,Evolve Togepi,Evolve Togepi,Field,
Natu,#0177,False,Route 224 (Swarm),Route 224 (Swarm),Route 224 (Swarm),"Ruins of Alph Route 28, Mt. Silver, Mt. Silver Cave (Headbutt trees)","Ruins of Alph Route 28, Mt. Silver, Mt. Silver Cave (Headbutt trees)",Forest,Scary Cave
Xatu,#0178,False,Evolve Natu,Evolve Natu,Evolve Natu,Trade Haunter in Pewter City,Trade Haunter in Pewter City,Forest,
Mareep,#0179,False,Valley Windworks (Poké Radar),Valley Windworks (Poké Radar),Valley Windworks (Poké Radar),"Routes 32, 42, and 43 Safari Zone (tall grass in Rocky Beach with 5 Forest points) Hatch Egg received from Primo in Violet City","Routes 32, 42, and 43 Safari Zone (tall grass in Rocky Beach with 5 Forest points) Hatch Egg received from Primo in Violet City",Field,"Icy Mountain Rd., Big Forest"
Flaaffy,#0180,False,Route 222 (Poké Radar),Route 222 (Poké Radar),Route 222 (Poké Radar),Routes 42 and 43,Routes 42 and 43,Field,
Ampharos,#0181,False,Evolve Flaaffy,Evolve Flaaffy,Evolve Flaaffy,Evolve Flaaffy,Evolve Flaaffy,Field,
Bellossom,#0182,False,Evolve Gloom,Evolve Gloom,Evolve Gloom,Evolve Gloom,Evolve Gloom,Forest,
Marill,#0183,False,"Great Marsh, Trophy Garden","Great Marsh, Trophy Garden","Routes 212 and 215, Trophy Garden","Mt. Mortar Safari Zone (tall grass Night and Surfing in Meadow, default)","Mt. Mortar Safari Zone (tall grass Night and Surfing in Meadow, default)",Pond,Resort
Azumarill,#0184,False,Evolve Marill,Evolve Marill,Victory Road,Evolve Marill,Evolve Marill,Pond,
Sudowoodo,#0185,False,Evolve Bonsly,Routes 214 and 221,Route 221,Route 36 (Only one)*,Route 36 (Only one)*,Mountain,
Politoed,#0186,False,Evolve Poliwhirl,Evolve Poliwhirl,Evolve Poliwhirl,Evolve Poliwhirl,Evolve Poliwhirl,Pond,
Hoppip,#0187,False,Route 205 (North and South) (Poké Radar),"Route 205 (South), Fuego Ironworks (Poké Radar)",Route 205 (South) (Poké Radar),"Routes 13, 14, 15, 32, and 33 Morning Day Route 48 Safari Zone Morning Day (tall grass in Meadow, default)","Routes 13, 14, 15, 32, and 33 Morning Day Route 48 Safari Zone Morning Day (tall grass in Meadow, default)",Field,Resort
Skiploom,#0188,False,Route 205 (North) (Poké Radar),Fuego Ironworks (Poké Radar),Evolve Hoppip,"Route 14 Morning Day Safari Zone (tall grass in Meadow, default Morning Day and with 8 Forest points; Surfing in Meadow with 3 Waterside points)","Route 14 Morning Day Safari Zone (tall grass in Meadow, default Morning Day and with 8 Forest points; Surfing in Meadow with 3 Waterside points)",Field,
Jumpluff,#0189,False,Evolve Skiploom,Evolve Skiploom,Evolve Skiploom,Safari Zone (tall grass in Marshland with 5 Plains points; Surfing in Marshland with 10 Waterside points),Safari Zone (tall grass in Marshland with 5 Plains points; Surfing in Marshland with 10 Waterside points),Field,
Aipom,#0190,False,"Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees)","Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees)","Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees)","Routes 28, 33, 42, 44, 45, 46, Azalea Town, Mt. Silver, Mt. Silver Cave (Headbutt trees)","Routes 28, 33, 42, 44, 45, 46, Azalea Town, Mt. Silver, Mt. Silver Cave (Headbutt trees)",Forest,
Sunkern,#0191,False,Northern Route 204 (Poké Radar),Northern Route 204 (Poké Radar),Northern Route 204 (Poké Radar),"Route 24, National Park Day Safari Zone Day (tall grass in Meadow, default)","Route 24, National Park Day Safari Zone Day (tall grass in Meadow, default)",Field,Beautiful Beach
Sunflora,#0192,False,Evolve Sunkern,Evolve Sunkern,Evolve Sunkern,Evolve Sunkern,Evolve Sunkern,Field,
Yanma,#0193,False,Great Marsh (after obtaining National Pokédex),Great Marsh (after obtaining National Pokédex),Great Marsh,Route 35,Route 35,Field,
Wooper,#0194,False,"Route 212, Great Marsh","Route 212, Great Marsh",Great Marsh,"Hatch Egg received from Primo in Violet City Route 32, Cliff Edge Gate, Ruins of Alph, Union Cave Cliff Cave Morning Day Safari Zone (tall grass in Meadow, default Night and with 3 Waterside points; Surfing in Meadow, Marshland, or Wetland - default; tall grass in Marshland or Wetland - default Night)","Hatch Egg received from Primo in Violet City Route 32, Cliff Edge Gate, Ruins of Alph, Union Cave Cliff Cave Morning Day Safari Zone (tall grass in Meadow, default Night and with 3 Waterside points; Surfing in Meadow, Marshland, or Wetland - default; tall grass in Marshland or Wetland - default Night)",Pond,Beautiful Beach
Quagsire,#0195,False,Route 212 and Great Marsh (Surfing) Great Marsh (tall grass),Route 212 and Great Marsh (Surfing) Great Marsh (tall grass),Great Marsh (Surfing) Great Marsh and Route 212 (tall grass),"Cliff Cave Morning Day Routes 10, 13, 14, 15, 26, and 27 Night Routes 12, 13, and 32, Ruins of Alph, Union Cave, Cliff Edge Gate (Surfing) Safari Zone (tall grass in Wetland, default Night; Surfing in Marshland with 13 Waterside blocks; Surfing in Wetland, default, and with 3 Waterside blocks) Mt. Silver Cave","Cliff Cave Morning Day Routes 10, 13, 14, 15, 26, and 27 Night Routes 12, 13, and 32, Ruins of Alph, Union Cave, Cliff Edge Gate (Surfing) Safari Zone (tall grass in Wetland, default Night; Surfing in Marshland with 13 Waterside blocks; Surfing in Wetland, default, and with 3 Waterside blocks) Mt. Silver Cave",Pond,
Espeon,#0196,False,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Field,
Umbreon,#0197,False,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Field,
Murkrow,#0198,False,Eterna Forest and Lost Tower Night,Trade,Trade,"Routes 7 and 16 Night Safari Zone (tall grass in Swamp, default, and with 5 Forest points Morning Day; Surfing in Swamp with 10 Waterside points)","Routes 7 and 16 Night Safari Zone (tall grass in Swamp, default, and with 5 Forest points Morning Day; Surfing in Swamp with 10 Waterside points)",Forest,Suburban Area
Slowking,#0199,False,Trade,Evolve Slowpoke,Evolve Slowpoke,Evolve Slowpoke,Evolve Slowpoke,Pond,
Misdreavus,#0200,False,Trade,"Eterna Forest, Lost Tower Night",Trade,"Safari Zone (Forest, default, and with 4 Forest points) Cliff Cave, Mt. Silver Cave Night","Safari Zone (Forest, default, and with 4 Forest points) Cliff Cave, Mt. Silver Cave Night",Forest,White Lake
Unown,#0201,False,Solaceon Ruins (different forms appear in different rooms),Solaceon Ruins (different forms appear in different rooms),Solaceon Ruins (different forms appear in different rooms),Ruins of Alph B1 F (different letters appear when puzzles are solved) Ruins of Alph 1 F (! and ? Forms; appears after finding all Unown letters),Ruins of Alph B1 F (different letters appear when puzzles are solved) Ruins of Alph 1 F (! and ? Forms; appears after finding all Unown letters),Forest,
Wobbuffet,#0202,False,"Lake Verity, Lake Acuity, Lake Valor (Poké Radar)","Lake Verity, Lake Acuity, Lake Valor (Poké Radar)","Lake Verity, Lake Valor (Poké Radar)","Cerulean Cave, Dark Cave (Blackthorn side) Safari Zone Night (Peak, default and 10 Peak points)","Cerulean Cave, Dark Cave (Blackthorn side) Safari Zone Night (Peak, default and 10 Peak points)",Field,Noisy Forest
Girafarig,#0203,False,Route 214 and Valor Lakefront,Route 214 and Valor Lakefront,Route 221 and Valor Lakefront,"Routes 43 and 48 Safari Zone (Plains, default, and with 3 Plains points Morning Day)","Routes 43 and 48 Safari Zone (Plains, default, and with 3 Plains points Morning Day)",Field,Treehouse
Pineco,#0204,False,"Routes 203, 204, 210, and 229, Eterna Forest (Emerald)","Routes 203, 204, 210, and 229, Eterna Forest (Emerald)","Routes 203, 204, 210, and 229, Eterna Forest (Emerald)","Routes 1, 2, 3, 4, 5, 6, 8, 22, 25, 26, 27, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 43, 47, and 48, New Bark Town, Cherrygrove City, Violet City, Ecruteak City, Pallet Town, Viridian City, Pewter City, Cerulean City, Safari Zone Gate, Ilex Forest, Lake of Rage, National Park (Headbutt trees)","Routes 1, 2, 3, 4, 5, 6, 8, 22, 25, 26, 27, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 43, 47, and 48, New Bark Town, Cherrygrove City, Violet City, Ecruteak City, Pallet Town, Viridian City, Pewter City, Cerulean City, Safari Zone Gate, Ilex Forest, Lake of Rage, National Park (Headbutt trees)",Forest,
Forretress,#0205,False,Evolve Pineco,Evolve Pineco,Evolve Pineco,Evolve Pineco,Evolve Pineco,Forest,
Dunsparce,#0206,False,Route 208 (Swarm),Route 208 (Swarm),Route 208 (Swarm),Dark Cave,Dark Cave,Forest,
Gligar,#0207,False,"Routes 206, 207, 214, 215, and 227, Stark Mountain (Emerald)","Routes 206, 207, 214, 215, and 227, Stark Mountain (Emerald)",Route 206,Route 45,Trade,Mountain,
Steelix,#0208,False,"Victory Road, Iron Island, Snowpoint Temple","Victory Road, Iron Island, Snowpoint Temple","Victory Road, Iron Island","Cliff Cave, Mt. Silver Cave Trade any Pokémon with Jasmine at the Olivine Gym","Cliff Cave, Mt. Silver Cave Trade any Pokémon with Jasmine at the Olivine Gym",Mountain,
Snubbull,#0209,False,Route 209 (Swarm),Route 209 (Swarm),Route 209 (Swarm),Route 38,Route 38,Field,
Granbull,#0210,False,Evolve Snubbull,Evolve Snubbull,Evolve Snubbull,Evolve Snubbull,Evolve Snubbull,Field,
Qwilfish,#0211,False,Iron Island (Super Rod),Iron Island (Super Rod),Iron Island (Super Rod),Routes 12 and 13 (Super Rod) Route 32 (Good Rod or Super Rod),Routes 12 and 13 (Super Rod) Route 32 (Good Rod or Super Rod),Sea,
Scizor,#0212,False,Evolve Scyther,"Trade, Event",Evolve Scyther,Evolve Scyther,Evolve Scyther,Field,
Shuckle,#0213,False,Route 224 (Emerald),Route 224 (Emerald),Route 224 (Emerald),"Received from a Poké Maniac in Cianwood City Safari Zone (tall grass in Marshland with 8 Peak points) Cianwood City, Vermilion City (Rock Smash)","Received from a Poké Maniac in Cianwood City Safari Zone (tall grass in Marshland with 8 Peak points) Cianwood City, Vermilion City (Rock Smash)",Sea,
Heracross,#0214,False,"Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, and 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees)","Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, and 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees)","Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, and 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees)","Routes 7, 11, 16, 28, 33, 42, 44, 45, 46, and 47, Azalea Town, Vermilion City, Celadon City, Mt. Silver, Mt. Silver Cave (Headbutt trees)","Routes 7, 11, 16, 28, 33, 42, 44, 45, 46, and 47, Azalea Town, Vermilion City, Celadon City, Mt. Silver, Mt. Silver Cave (Headbutt trees)",Forest,
Sneasel,#0215,False,"Routes 216 and 217, Acuity Lakefront, Lake Acuity, Snowpoint Temple","Routes 216 and 217, Acuity Lakefront, Lake Acuity, Snowpoint Temple","Routes 216 and 217, Acuity Lakefront, Lake Acuity, Snowpoint Temple","Route 28, Mt. Silver Night Mt. Silver Cave","Route 28, Mt. Silver Night Mt. Silver Cave",Mountain,Icy Mountain Rd.
Teddiursa,#0216,False,"Route 211, Acuity Lakefront (Emerald)","Route 211, Acuity Lakefront (Emerald)",Lake Acuity (Emerald),Trade,"Route 45, Mt. Silver Cave",Forest,
Ursaring,#0217,False,"Routes 216 and 217, Lake Acuity (Emerald)","Routes 216 and 217, Lake Acuity (Emerald)","Routes 216 and 217, Acuity Lakefront (Emerald)",Trade,"Route 28, Victory Road, Mt. Silver, Mt. Silver Cave",Forest,
Slugma,#0218,False,Stark Mountain,Stark Mountain,Stark Mountain,"Hatch Egg received from Primo in Violet City Routes 16, 17, and 18","Hatch Egg received from Primo in Violet City Routes 16, 17, and 18",Mountain,Volcano Path
Magcargo,#0219,False,Stark Mountain,Stark Mountain,Stark Mountain,Evolve Slugma,Evolve Slugma,Mountain,
Swinub,#0220,False,Route 217 (Swarm),Route 217 (Swarm),"Route 217, Acuity Lakefront",Ice Path,Ice Path,Mountain,Icy Mountain Rd.
Piloswine,#0221,False,Evolve Swinub,Evolve Swinub,Route 217 (Poké Radar),Evolve Swinub,Evolve Swinub,Mountain,
Corsola,#0222,False,Route 230 (swarm),Route 230 (swarm),Route 230 (swarm),"Routes 19, 34, 40, Cherrygrove City, Olivine City, Cianwood City, Union Cave (Good Rod and Super Rod) Morning Day","Routes 19, 34, 40, Cherrygrove City, Olivine City, Cianwood City, Union Cave (Good Rod and Super Rod) Morning Day",Sea,Beyond the Sea
Remoraid,#0223,False,"Routes 213, 222, 223, 224, and 230, Pastoria City, Sunyshore City, Pokémon League (Good Rod)","Routes 213, 222, 223, 224, and 230, Pastoria City, Sunyshore City, Pokémon League (Good Rod)","Routes 212, 213, 222, 223, 224, and 230, Pastoria City, Sunyshore City, Pokémon League (Good Rod)",Route 44 (Good Rod or Super Rod),Route 44 (Good Rod or Super Rod),Sea,"White Lake, Beyond the Sea"
Octillery,#0224,False,"Routes 213, 222, 223, 224, and 230, Pastoria City, Sunyshore City, Pokémon League (Super Rod)","Routes 213, 222, 223, 224, and 230, Pastoria City, Sunyshore City, Pokémon League (Super Rod)","Routes 212, 213, 222, 223, 224, and 230, Pastoria City, Sunyshore City, Pokémon League (Super Rod) Route 223 (Good Rod)",Evolve Remoraid,Evolve Remoraid,Sea,Beyond the Sea
Delibird,#0225,False,Route 216 (Swarm),Route 216 (Swarm),Route 217 (Swarm),Trade,Ice Path,Mountain,
Mantine,#0226,False,Evolve Mantyke,Evolve Mantyke,Evolve Mantyke,Route 41,Trade,Sea,
Skarmory,#0227,False,"Route 227, Stark Mountain","Route 227, Stark Mountain","Route 227, Stark Mountain",Trade,Route 45,Mountain,
Houndour,#0228,False,Trade,Breed Houndoom,"Route 214, Valor Lakefront",Route 7 Night Safari Zone (Savannah with 4 Forest points),Route 7 Night Safari Zone (Savannah with 4 Forest points),Mountain,Volcano Path
Houndoom,#0229,False,Trade,Routes 214 and 215 (Poké Radar),Evolve Houndour,Safari Zone (Plains with 10 Peak points),Safari Zone (Plains with 10 Peak points),Mountain,
Kingdra,#0230,False,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Sea,
Phanpy,#0231,False,Route 207 (Swarm),Route 207 (Swarm),Route 207 (Swarm),"Route 45, Mt. Silver Cave",Trade,Mountain,
Donphan,#0232,False,Evolve Phanpy,Evolve Phanpy,Evolve Phanpy,"Route 28, Mt. Silver, Mt. Silver Cave, Victory Road",Trade,Mountain,
Porygon2,#0233,False,Evolve Porygon,Evolve Porygon,Evolve Porygon,Evolve Porygon,Evolve Porygon,Field,
Stantler,#0234,False,Trade,Route 207 (Poké Radar),Route 207 (Poké Radar),"Routes 36 and 37 Safari Zone Night (Plains - default, with 3 Plains points, and with 3 Forest points)","Routes 36 and 37 Safari Zone Night (Plains - default, with 3 Plains points, and with 3 Forest points)",Field,Treehouse
Smeargle,#0235,False,Route 212 (north) (Poké Radar),Route 212 (north) (Poké Radar),Routes 208 and 212 (north) (Poké Radar),"Ruins of Alph Safari Zone Morning Day (Plains, default, and with 3 Forest points)","Ruins of Alph Safari Zone Morning Day (Plains, default, and with 3 Forest points)",Field,
Tyrogue,#0236,False,Routes 208 and 211 (Poké Radar),Routes 208 and 211 (Poké Radar),"Route 211 (west side, Poké Radar)",Received from Kiyo in Mt. Mortar,Received from Kiyo in Mt. Mortar,Mountain,
Hitmontop,#0237,False,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Mountain,
Smoochum,#0238,False,Lake Acuity (Swarm),Lake Acuity (Swarm),Snowpoint Temple,"Breed Jynx, transfer from Pokéwalker","Breed Jynx, transfer from Pokéwalker",Field,Dim Cave and Amity Meadow
Elekid,#0239,False,"Route 205, Valley Windworks (Fire Red)","Route 205, Valley Windworks (Fire Red)",Breed Electabuzz or Electivire,Breed Electabuzz or Electivire,Breed Electabuzz or Electivire,Mountain,"Suburban Area, Amity Meadow"
Magby,#0240,False,"Route 227, Stark Mountain (Leaf Green)","Route 227, Stark Mountain (Leaf Green)",Breed Magmar or Magmortar,Breed Magmar or Magmortar,Breed Magmar or Magmortar,Mountain,"Rugged Road, Amity Meadow"
Miltank,#0241,False,Routes 209 and 210 (Poké Radar),Routes 209 and 210 (Poké Radar),Route 210 (Poké Radar),"Routes 38, 39, and 47","Routes 38, 39, and 47",Field,
Blissey,#0242,False,Evolve Chansey,Evolve Chansey,Evolve Chansey,Evolve Chansey,Evolve Chansey,Field,
Raikou,#0243,False,"Trade, Event","Trade, Event","Trade, Event",Roaming Johto (Only one),Roaming Johto (Only one),Mountain,
Entei,#0244,False,"Trade, Event","Trade, Event","Trade, Event",Roaming Johto (Only one),Roaming Johto (Only one),Mountain,
Suicune,#0245,False,"Trade, Event","Trade, Event","Trade, Event",Route 25 (Only one) Burned Tower*,Route 25 (Only one) Burned Tower*,,
Larvitar,#0246,False,Route 207 (Poké Radar),Trade,Route 206 (Swarm),"Safari Zone (Mountain, default Morning Day, and with 5 Peak points) Mt. Silver Cave","Safari Zone (Mountain, default Morning Day, and with 5 Peak points) Mt. Silver Cave",Mountain,
Pupitar,#0247,False,Evolve Larvitar,Trade,Evolve Larvitar,Mt. Silver Cave,Mt. Silver Cave,Mountain,
Tyranitar,#0248,False,Evolve Pupitar,Trade,Evolve Pupitar,Evolve Pupitar,Evolve Pupitar,Mountain,
Lugia,#0249,False,Trade,Trade,Trade,Whirl Islands (requires Tidal Bell* and Silver Wing) (Only one),Whirl Islands (requires Tidal Bell* and Silver Wing) (Only one),Mountain,
Ho-Oh,#0250,False,Trade,Trade,Trade,Bell Tower (requires Clear Bell* and Rainbow Wing) (Only one),Bell Tower (requires Clear Bell* and Rainbow Wing) (Only one),Mountain,
Celebi,#0251,False,Event,Event,Event,Event,Event,Forest,
Treecko,#0252,False,Trade,Trade,Trade,Received from Steven Stone in Silph Co. after defeating Red,Received from Steven Stone in Silph Co. after defeating Red,Forest,
Grovyle,#0253,False,Trade,Trade,Trade,Evolve Treecko,Evolve Treecko,Forest,
Sceptile,#0254,False,Trade,Trade,Trade,Evolve Grovyle,Evolve Grovyle,Forest,
Torchic,#0255,False,Trade,Trade,Trade,Received from Steven Stone in Silph Co. after defeating Red,Received from Steven Stone in Silph Co. after defeating Red,Field,Sightseeing
Combusken,#0256,False,Trade,Trade,Trade,Evolve Torchic,Evolve Torchic,Field,
Blaziken,#0257,False,Trade,Trade,Trade,Evolve Combusken,Evolve Combusken,Field,
Mudkip,#0258,False,Trade,Trade,Trade,Received from Steven Stone in Silph Co. after defeating Red,Received from Steven Stone in Silph Co. after defeating Red,Pond,
Marshtomp,#0259,False,Trade,Trade,Trade,Evolve Mudkip,Evolve Mudkip,Pond,
Swampert,#0260,False,Trade,Trade,Trade,Evolve Marshtomp,Evolve Marshtomp,Pond,
Poochyena,#0261,False,Breed Mightyena,Trade,Route 214 (Poké Radar),Route 1 (Swarm),Route 1 (Swarm),Field,
Mightyena,#0262,False,Routes 214 and 215 (Poké Radar),Trade,Evolve Poochyena,Evolve Poochyena,Evolve Poochyena,Field,
Zigzagoon,#0263,False,Route 202 (Swarm),Route 202 (Swarm),Route 202 (Swarm),"Safari Zone (Plains with 15 Forest points; Savannah with 10 Plains points) Sprout Tower, Bell Tower, Burned Tower (Hoenn Sound)","Safari Zone (Plains with 15 Forest points; Savannah with 10 Plains points) Sprout Tower, Bell Tower, Burned Tower (Hoenn Sound)",Field,Hoenn Field
Linoone,#0264,False,Evolve Zigzagoon,Evolve Zigzagoon,Evolve Zigzagoon,"Safari Zone (Peak with 5 Plains points) Routes 30, 31, 32, 34, 35, 42, 43, 44, 45, 47, 4, 6, 9, 10, 13, 21, 22, 24, 25, 26, 27, and 28, Ruins of Alph, Mt. Silver (Hoenn Sound)","Safari Zone (Peak with 5 Plains points) Routes 30, 31, 32, 34, 35, 42, 43, 44, 45, 47, 4, 6, 9, 10, 13, 21, 22, 24, 25, 26, 27, and 28, Ruins of Alph, Mt. Silver (Hoenn Sound)",Field,Hoenn Field
