Pokemon,No.,Caught?,Sword,Shield,Expansion Pass,Brilliant Diamond,Shining Pearl,Legends: Arceus,Sword Expansion Pass,Shield Expansion Pass
Buneary,#0427,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Fields of Honor, Challenge Beach Fields of Honor (Max Raid Battle)","Eterna Forest Grand Underground - Spacious Cave, Grassland Cave, Sunlit Cavern, Riverbank Cave, Still- Water Cavern, Whiteout Cave, Icy Cave, Glacial Cavern","Eterna Forest Grand Underground - Spacious Cave, Grassland Cave, Sunlit Cavern, Riverbank Cave, Still- Water Cavern, Whiteout Cave, Icy Cave, Glacial Cavern","Obsidian Fieldlands: The Heartwood and nearby, massive mass outbreaks Alabaster Icelands: Bonechill Wastes, Snowfall Hot Spring, massive mass outbreaks",,
Lopunny,#0428,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Fields of Honor, Soothing Wetlands (Wanderer) Fields of Honor (Max Raid Battle) Max Lair (Dynamax Adventure)",Evolve Buneary,Evolve Buneary,"Obsidian Fieldlands: near The Heartwood , massive mass outbreaks Crimson Mirelands: Space-time distortions Alabaster Icelands: Bonechill Wastes, Snowfall Hot Spring, massive mass outbreaks",,
Mismagius,#0429,False,Unobtainable,Unobtainable,,Trade,Evolve Misdreavus,"Coronet Highlands: Stonetooth Rows Night , massive mass outbreaks Alabaster Icelands: massive mass outbreaks",,
Honchkrow,#0430,False,Unobtainable,Unobtainable,,Evolve Murkrow,Trade,"Crimson Mirelands: Cloudpool Ridge Night , massive mass outbreaks Cobalt Coastlands: Bathers' Lagoon Night",,
Glameow,#0431,False,Unobtainable,Unobtainable,,Trade,"Routes 218 and 222 Grand Underground - Grassland Cave, Spacious Cave, Riverbank Cave, Sunlit Cavern, Still- Water Cavern (After defeating Candice)","Cobalt Coastlands: Crossing Slope, Veilstone Cape, massive mass outbreaks Alabaster Icelands: near Glacier Terrace, massive mass outbreaks",,
Purugly,#0432,False,Unobtainable,Unobtainable,,Trade,"Routes 222 and 229 Grand Underground - Grassland Cave, Spacious Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern (After obtaining T M97 (Defog))","Cobalt Coastlands: Crossing Slope, Veilstone Cape  (also mass outbreaks), massive mass outbreaks Alabaster Icelands: near Glacier Terrace, massive mass outbreaks",,
Chingling,#0433,False,Unobtainable,Unobtainable,,"Route 211, Lake Valor, Mt. Coronet, Lake Acuity Grand Underground - Spacious Cave, Dazzling Cave, Stargleam Cavern (After obtaining T M96 (Strength))","Route 211, Lake Valor, Mt. Coronet, Lake Acuity Grand Underground - Spacious Cave, Dazzling Cave, Stargleam Cavern (After obtaining T M96 (Strength))","Coronet Highlands: Primeval Grotto (mass outbreaks), Sacred Plaza, massive mass outbreaks Alabaster Icelands: Lake Acuity",,
Stunky,#0434,False,"Route 3, Dappled Grove, North Lake Miloch, South Lake Miloch, Giant's Cap East Lake Axewell, Giant's Cap, Motostoke Riverbank, North Lake Miloch, Stony Wilderness, West Lake Axewell (Max Raid Battle)","Route 3, Dappled Grove, North Lake Miloch, South Lake Miloch, Giant's Cap East Lake Axewell, Giant's Cap, Motostoke Riverbank, North Lake Miloch, Stony Wilderness, West Lake Axewell (Max Raid Battle)",,"Routes 206, 214, and 221 Grand Underground - Grassland Cave, Spacious Cave, Riverbank Cave, Sunlit Cavern, Still- Water Cavern (After obtaining T M96 (Strength))",Trade,"Crimson Mirelands: Scarlet Bog, massive mass outbreaks Coronet Highlands: near Ancient Quarry, near Celestica Trail, massive mass outbreaks",,
Skuntank,#0435,False,"Dusty Bowl, Lake of Outrage, North Lake Miloch, South Lake Miloch East Lake Axewell, Giant's Cap, Motostoke Riverbank, North Lake Miloch, Stony Wilderness, West Lake Axewell (Max Raid Battle)","Dusty Bowl, Lake of Outrage, North Lake Miloch, South Lake Miloch East Lake Axewell, Giant's Cap, Motostoke Riverbank, North Lake Miloch, Stony Wilderness, West Lake Axewell (Max Raid Battle)",Max Lair (Dynamax Adventure),"Routes 221 and 225 Grand Underground - Grassland Cave, Spacious Cave, Riverbank Cave, Sunlit Cavern, Still- Water Cavern (After obtaining T M96 (Strength))",Trade,"Crimson Mirelands: Scarlet Bog (additional ), massive mass outbreaks Cobalt Coastlands: Space-time distortions Coronet Highlands: near Ancient Quarry, near Celestica Trail, massive mass outbreaks",,
Bronzor,#0436,False,"South Lake Miloch, Giant's Seat, Bridge Field Dusty Bowl, Giant's Seat, Hammerlocke Hills, Motostoke Riverbank, Stony Wilderness (Max Raid Battle)","South Lake Miloch, Giant's Seat, Bridge Field, Stony Wilderness Dusty Bowl, Giant's Seat, Hammerlocke Hills, Motostoke Riverbank, Stony Wilderness (Max Raid Battle)","Giant's Foot, Three- Point Pass Brawlers' Cave, Courageous Cavern, Stepping- Stone Sea, Giant's Bed, Snowslide Slope, Path to the Peak, Ballimere Lake (Max Raid Battle)","Route 206, Wayward Cave, Turnback Cave, Mt. Coronet Grand Underground - Rocky Cave, Icy Cave, Dazzling Cave, Stargleam Cavern, Big Bluff Cavern, Glacial Cavern (After obtaining T M96 (Strength))","Route 206, Wayward Cave, Turnback Cave, Mt. Coronet Grand Underground - Rocky Cave, Icy Cave, Dazzling Cave, Stargleam Cavern, Big Bluff Cavern, Glacial Cavern (After obtaining T M96 (Strength))","Crimson Mirelands: massive mass outbreaks Coronet Highlands: Ancient Quarry, near Clamberclaw Cliffs, near Celestica Ruins, near Primeval Grotto, Stonetooth Rows Day, massive mass outbreaks Alabaster Icelands: Lake Acuity, Snowpoint Temple, massive mass outbreaks

Coronet Highlands: Wayward Wood, near Ancient Quarry, Sonorous Path, Lonely Spring, Clamberclaw Cliffs, Primeval Grotto Shaking ore deposits Alabaster Icelands: Lake Acuity Shaking ore deposits",,
Bronzong,#0437,False,"Route 8, Axew's Eye, Dusty Bowl, Lake of Outrage Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Seat, Stony Wilderness (Wanderer) Dusty Bowl, Giant's Seat, Hammerlocke Hills, Stony Wilderness (Max Raid Battle)","Route 8, Axew's Eye, Dusty Bowl, Lake of Outrage Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Seat, Stony Wilderness (Wanderer) Dusty Bowl, Giant's Seat, Hammerlocke Hills, Stony Wilderness (Max Raid Battle)","Giant's Bed, Giant's Foot, Three- Point Pass Brawlers' Cave, Courageous Cavern, Stepping- Stone Sea, Giant's Bed, Snowslide Slope, Path to the Peak, Ballimere Lake (Max Raid Battle) Max Lair (Dynamax Adventure)","Turnback Cave, Mt. Coronet","Turnback Cave, Mt. Coronet","Crimson Mirelands: massive mass outbreaks Coronet Highlands: Ancient Quarry, near Clamberclaw Cliffs (additional ), near Celestica Ruins, near Primeval Grotto, Stonetooth Rows Day, massive mass outbreaks Alabaster Icelands: Lake Acuity, Snowpoint Temple, massive mass outbreaks",,
Bonsly,#0438,False,"Bridge Field, Stony Wilderness Rolling Fields, Giant's Seat Sw, Stony Wilderness (Max Raid Battle)","Bridge Field, Stony Wilderness Rolling Fields, Giant's Seat Sw, Stony Wilderness (Max Raid Battle)",Fields of Honor (Max Raid Battle),Trophy Garden,"Routes 209 and 210, Trophy Garden","Crimson Mirelands: Diamond Heath Shaking ore deposits, Cloudpool Ridge and nearby, massive mass outbreaks Coronet Highlands: Celestica Ruins Shaking ore deposits, near Celestica Ruins (mass outbreaks)",,
Mime Jr.,#0439,False,"Rolling Fields (Wanderer) Bridge Field, Hammerlocke Hills, Lake of Outrage, Motostoke Riverbank, Stony Wilderness (Max Raid Battle)","Rolling Fields (Wanderer) Bridge Field, Hammerlocke Hills, Lake of Outrage, Motostoke Riverbank, Stony Wilderness (Max Raid Battle)","Slippery Slope, Frostpoint Field, Giant's Bed, Old Cemetery, Snowslide Slope, Giant's Foot, Frigid Sea, Three- Point Pass, Ballimere Lake Snowslide Slope, Path to the Peak, Giant's Bed, Ballimere Lake (Max Raid Battle)","Routes 209 and 210, Trophy Garden",Trophy Garden,"Obsidian Fieldlands: Horseshoe Plains, Sandgem Flats, massive mass outbreaks Coronet Highlands: massive mass outbreaks",,
Happiny,#0440,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Fields of Honor, Challenge Beach, Challenge Road, Forest of Focus, Honeycalm Island, Insular Sea, Loop Lagoon, Soothing Wetlands, Stepping- Stone Sea, Training Lowlands, Workout Sea",Hatch Egg received from a Hiker in Hearthome City Trophy Garden,Hatch Egg received from a Hiker in Hearthome City Trophy Garden,"Obsidian Fieldlands: near Horseshoe Plains (mass outbreaks), Oreburrow Tunnel, near Obsidian Falls Crimson Mirelands: Cottonsedge Prairie (mass outbreaks) Cobalt Coastlands: Hideaway Bay, Tombolo Walk and nearby, massive mass outbreaks Coronet Highlands: Lonely Spring (mass outbreaks) Alabaster Icelands: Avalanche Slopes",,
Chatot,#0441,False,Unobtainable,Unobtainable,,Routes 222 and 224 Morning Day Trade Buizel at Eterna Condominiums,Routes 222 and 224 Morning Day Trade Buizel at Eterna Condominiums,"Obsidian Fieldlands: massive mass outbreaks Cobalt Coastlands: Deadwood Haunt Day (also mass outbreaks Day Night), massive mass outbreaks",,
Spiritomb,#0442,False,Trade Version 1.3.0+,Trade Version 1.3.0+,Ballimere Lake (Only one),Hallowed Tower on Route 209,Hallowed Tower on Route 209,"Crimson Mirelands: Shrouded Ruins (additional ), massive mass outbreaks (after completing Request 22)",,
Gible,#0443,False,Trade Version 1.3.0+,Trade Version 1.3.0+,,"Wayward Cave Grand Underground - Riverbank Cave, Fountainspring Cave, Still- Water Cavern (After defeating Candice)","Wayward Cave Grand Underground - Riverbank Cave, Fountainspring Cave, Still- Water Cavern (After defeating Candice)","Coronet Highlands: Wayward Cave, Clamberclaw Cliffs, massive mass outbreaks Alabaster Icelands: Avalanche Slopes

Coronet Highlands: Wayward Cave, Clamberclaw Cliffs Shaking ore deposits Alabaster Icelands: Avalanche Slopes Shaking ore deposits",,"Tunnel to the Top Giant's Bed, Path to the Peak, Ballimere Lake, Three- Point Pass, Frigid Sea (Max Raid Battle)"
Gabite,#0444,False,Trade Version 1.3.0+,Trade Version 1.3.0+,,"Grand Underground - Riverbank Cave, Fountainspring Cave, Still- Water Cavern (After obtaining T M99 (Waterfall))","Grand Underground - Riverbank Cave, Fountainspring Cave, Still- Water Cavern (After obtaining T M99 (Waterfall))","Coronet Highlands: near Clamberclaw Cliffs , Clamberclaw Cliffs (mass outbreaks), massive mass outbreaks Alabaster Icelands: Avalanche Slopes",,"Giant's Bed, Path to the Peak, Ballimere Lake, Three- Point Pass, Frigid Sea (Max Raid Battle)"
Garchomp,#0445,False,Trade Version 1.3.0+,Trade Version 1.3.0+,,Evolve Gabite,Evolve Gabite,Coronet Highlands: massive mass outbreak Alabaster Icelands: Avalanche Slopes ,,"Tunnel to the Top, Path to the Peak (Wanderer) Giant's Bed, Path to the Peak, Ballimere Lake, Three- Point Pass, Frigid Sea (Max Raid Battle)"
Munchlax,#0446,False,"Motostoke Riverbank Bridge Field, Motostoke Riverbank, Stony Wilderness (Max Raid Battle)","Motostoke Riverbank Bridge Field, Motostoke Riverbank, Stony Wilderness (Max Raid Battle)","Ballimere Lake (walking and Berry tree) Max Lair (Dynamax Adventure) Slippery Slope, Giant's Bed, Giant's Foot, Ballimere Lake (Max Raid Battle)","Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees) Grand Underground - Grassland Cave, Spacious Cave, Whiteout Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern (After obtaining T M97 (Defog))","Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees) Grand Underground - Grassland Cave, Spacious Cave, Whiteout Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern (After obtaining T M97 (Defog))","Obsidian Fieldlands: Deertrack Path, massive mass outbreaks Alabaster Icelands: Snowfall Hot Spring",,
Riolu,#0447,False,"Giant's Cap Dusty Bowl, Giant's Seat, Hammerlocke Hills, North Lake Miloch, Rolling Fields, Stony Wilderness (Max Raid Battle)","Giant's Cap Dusty Bowl, Giant's Seat, Hammerlocke Hills, North Lake Miloch, Rolling Fields (Max Raid Battle)",Roaring- Sea Caves,Hatch Egg received from Riley in Iron Island,Hatch Egg received from Riley in Iron Island,"Cobalt Coastlands: massive mass outbreaks Alabaster Icelands: Icebound Falls, Snowfall Hot Spring, massive mass outbreaks",,
Lucario,#0448,False,"North Lake Miloch (Wanderer) Dusty Bowl, Giant's Seat, Hammerlocke Hills, North Lake Miloch, Rolling Fields, Stony Wilderness (Max Raid Battle)","North Lake Miloch (Wanderer) Dusty Bowl, Giant's Seat, Hammerlocke Hills, North Lake Miloch, Rolling Fields (Max Raid Battle)","Roaring- Sea Caves (Wanderer) Brawlers' Cave, Courageous Cavern, Stepping- Stone (Max Raid Battle)",Evolve Riolu,Evolve Riolu,"Cobalt Coastlands: massive mass outbreaks Alabaster Icelands: Icebound Falls (additional ), Snowfall Hot Spring, massive mass outbreaks",,
Hippopotas,#0449,False,"Route 6, Dusty Bowl Dusty Bowl (Max Raid Battle)","Route 6, Dusty Bowl Dusty Bowl (Max Raid Battle)",,"Maniac Tunnel Grand Underground - Rocky Cave, Big Bluff Cavern, Sandsear Cave (After obtaining Defog)","Maniac Tunnel Grand Underground - Rocky Cave, Big Bluff Cavern, Sandsear Cave (After obtaining Defog)","Crimson Mirelands: Gapejaw Bog, near Sludge Mound, Scarlet Bog, massive mass outbreaks Coronet Highlands: Celestica Trail, massive mass outbreaks",,
Hippowdon,#0450,False,"Route 8, Giant's Mirror, Lake of Outrage Dusty Bowl (Max Raid Battle)","Route 8, Giant's Mirror, Lake of Outrage Dusty Bowl (Max Raid Battle)",,Route 228,Route 228,"Crimson Mirelands: Gapejaw Bog , Scarlet Bog and nearby, massive mass outbreaks Coronet Highlands: Celestica Trail, massive mass outbreaks",,
Skorupi,#0451,False,"Route 6, Giant's Mirror, Motostoke Riverbank East Lake Axewell, Giant's Cap, Hammerlocke Hills, Motostoke Riverbank, North Lake Miloch (Max Raid Battle)","Route 6, Giant's Mirror, Motostoke Riverbank East Lake Axewell, Giant's Cap, Hammerlocke Hills, Motostoke Riverbank, North Lake Miloch (Max Raid Battle)",Soothing Wetlands,"Great Marsh Grand Underground - Volcanic Cave, Rocky Cave, Swampy Cave, Sandsear Cave, Typhlo Cavern, Big Bluff Cavern, Bogsunk Cavern","Great Marsh Grand Underground - Volcanic Cave, Rocky Cave, Swampy Cave, Sandsear Cave, Typhlo Cavern, Big Bluff Cavern, Bogsunk Cavern","Crimson Mirelands: massive mass outbreaks Cobalt Coastlands: Ginkgo Landing, Castaway Shore, massive mass outbreaks",,
Drapion,#0452,False,"Route 8, Lake of Outrage Bridge Field, Motostoke Riverbank (Wanderer) East Lake Axewell, Giant's Cap, Motostoke Riverbank, North Lake Miloch (Max Raid Battle)","Route 8, Lake of Outrage Bridge Field, Motostoke Riverbank (Wanderer) East Lake Axewell, Giant's Cap, Motostoke Riverbank, North Lake Miloch (Max Raid Battle)","Challenge Beach, Soothing Wetlands, Training Lowlands (Wanderer) Max Lair (Dynamax Adventure)",Great Marsh (after obtaining National Pokédex),Great Marsh (after obtaining National Pokédex),"Crimson Mirelands: massive mass outbreaks Cobalt Coastlands: Ginkgo Landing , Castaway Shore (mass outbreaks), massive mass outbreaks",,
Croagunk,#0453,False,Trade,"Galar Mine No. 2, Motostoke Outskirts, Bridge Field, Stony Wilderness, Dusty Bowl, Giant's Cap Dusty Bowl, North Lake Miloch, Rolling Fields, South Lake Miloch, Stony Wilderness (Max Raid Battle)",,"Great Marsh Grand Underground - Swampy Cave, Riverbank Cave, Still- Water Cavern, Bogsunk Cavern","Great Marsh Grand Underground - Swampy Cave, Riverbank Cave, Still- Water Cavern, Bogsunk Cavern","Crimson Mirelands: Gapejaw Bog, Holm of Trials, near Sludge Mound, Scarlet Bog, massive mass outbreaks Coronet Highlands: near Ancient Quarry",,"Soothing Wetlands, Forest of Focus"
Toxicroak,#0454,False,Trade,"Stony Wilderness Dusty Bowl, North Lake Miloch, Rolling Fields, South Lake Miloch, Stony Wilderness,  (Max Raid Battle)",,Great Marsh  (after obtaining National Pokédex),Great Marsh  (after obtaining National Pokédex),"Obsidian Fieldlands: Space-time distortions Crimson Mirelands: Holm of Trials (additional ), massive mass outbreaks Cobalt Coastlands: Spring Path Coronet Highlands: near Ancient Quarry",,"Challenge Road, Training Lowlands (Wanderer)"
Carnivine,#0455,False,Unobtainable,Unobtainable,,Great Marsh,Great Marsh,"Crimson Mirelands: Golden Lowlands and nearby, Gapejaw Bog, Holm of Trials, Cloudpool Ridge, Shrouded Ruins, near Diamond Settlement, near Cottonsedge Prairie (additional ), near Lake Valor, massive mass outbreaks Cobalt Coastlands: Space-time distortions Coronet Highlands: Lonely Spring (additional )",,
Finneon,#0456,False,Unobtainable,Unobtainable,,"Routes 205, 218, 219, 220, and 221, Fuego Ironworks, Iron Island, Canalave City, Valley Windworks (Good Rod)","Routes 205, 218, 219, 220, and 221, Fuego Ironworks, Iron Island, Canalave City, Valley Windworks (Good Rod)","Cobalt Coastlands: Seagrass Haven, massive mass outbreaks",,
Lumineon,#0457,False,Unobtainable,Unobtainable,,"Routes 205, 218, 219, 220, and 221, Fuego Ironworks, Iron Island, Canalave City, Valley Windworks (Super Rod)","Routes 205, 218, 219, 220, and 221, Fuego Ironworks, Iron Island, Canalave City, Valley Windworks (Super Rod)","Cobalt Coastlands: Seagrass Haven and nearby (additional ), massive mass outbreaks",,
Mantyke,#0458,False,"Route 9, Lake of Outrage, Motostoke Riverbank East Lake Axewell, Giant's Mirror, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)","Route 9, Lake of Outrage, Motostoke Riverbank East Lake Axewell, Giant's Mirror, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)","Fields of Honor, Workout Sea, Stepping- Stone Sea, Insular Sea, Honeycalm Island, Honeycalm Sea","Route 223, Sunyshore City (Surfing)","Route 223, Sunyshore City (Surfing)","Cobalt Coastlands: near Ginkgo Landing, near Aipom Hill, near Bathers' Lagoon, Tranquility Cove, near Castaway Shore, massive mass outbreaks",,
Snover,#0459,False,"Routes 8 and 10, Dappled Grove, East Lake Axewell, Axew's Eye, Watchtower Ruins, North Lake Miloch, South Lake Miloch, Giant's Seat, Giant's Mirror, Giant's Cap, Dusty Bowl Dusty Bowl, Giant's Cap, Hammerlocke Hills (Max Raid Battle)","Routes 8 and 10, Dappled Grove, East Lake Axewell, Axew's Eye, Watchtower Ruins, North Lake Miloch, South Lake Miloch, Giant's Seat, Giant's Mirror, Giant's Cap, Dusty Bowl Dusty Bowl, Giant's Cap, Hammerlocke Hills (Max Raid Battle)",Frostpoint Field,"Routes 216 and 217, Acuity Lakefront, Mt. Coronet (peak) Grand Underground - Icy Cave, Whiteout Cave, Glacial Cavern (After defeating Candice)","Routes 216 and 217, Acuity Lakefront, Mt. Coronet (peak) Grand Underground - Icy Cave, Whiteout Cave, Glacial Cavern (After defeating Candice)","Coronet Highlands: massive mass outbreaks Alabaster Icelands: Bonechill Wastes, near Arena's Approach, near Avalugg's Legacy, Glacier Terrace, massive mass outbreaks",,
Abomasnow,#0460,False,"Route 10, Dusty Bowl, Lake of Outrage Route 10, Axew's Eye, Giant's Mirror, Giant's Seat, Hammerlocke Hills (Wanderer) Dusty Bowl, Giant's Cap, Hammerlocke Hills (Max Raid Battle)","Route 10, Dusty Bowl, Lake of Outrage Route 10, Axew's Eye, Giant's Mirror, Giant's Seat, Hammerlocke Hills (Wanderer) Dusty Bowl, Giant's Cap, Hammerlocke Hills (Max Raid Battle)","Frostpoint Field Slippery Slope, Frostpoint Field (Wanderer) Max Lair (Dynamax Adventure) Slippery Slope, Giant's Bed, Snowslide Slope, Frigid Sea (Max Raid Battle)",Mount Coronet (Exterior),Mount Coronet (Exterior),"Coronet Highlands: massive mass outbreaks Alabaster Icelands: Bonechill Wastes (additional ), near Arena's Approach, near Avalugg's Legacy, Glacier Terrace, massive mass outbreaks",,
Weavile,#0461,False,"Bridge Field (Wanderer) Bridge Field, Stony Wilderness, West Lake Axewell (Max Raid Battle)","Bridge Field (Wanderer) Bridge Field, Stony Wilderness, West Lake Axewell (Max Raid Battle)","Slippery Slope, Frostpoint Field, Snowslide Slope (Wanderer) Frostpoint Field, Giant's Bed, Snowslide Slope, Giant's Foot, Frigid Sea (Max Raid Battle)",Evolve Sneasel,Evolve Sneasel,Obsidian Fieldlands: Space-time distortions,,
Magnezone,#0462,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Loop Lagoon, Insular Sea Fields of Honor, Forest of Focus, Challenge Beach, Brawlers' Cave, Courageous Cavern, Stepping- Stone Sea, Honeycalm Sea (Max Raid Battle)",Evolve Magneton,Evolve Magneton,"Coronet Highlands: near Clamberclaw Cliffs Flying, near Celestica Trail Flying, near Fabled Spring Flying, Space-time distortions",,
Lickilicky,#0463,False,Trade Version 1.2.0+,Trade Version 1.2.0+,Soothing Wetlands,Evolve Lickitung,Evolve Lickitung,"Obsidian Fieldlands: Space-time distortions Crimson Mirelands: Shrouded Ruins  (also mass outbreaks), massive mass outbreaks Alabaster Icelands: Avalanche Slopes, massive mass outbreaks",,
Rhyperior,#0464,False,"Bridge Field, Dusty Bowl, Giant's Seat, Rolling Fields (Max Raid Battle)","Bridge Field, Dusty Bowl, Giant's Seat, Rolling Fields (Max Raid Battle)",Potbottom Desert (Wanderer) Fields of Honor (Max Raid Battle),Evolve Rhydon,Evolve Rhydon,"Crimson Mirelands: massive mass outbreaks Cobalt Coastlands: Space-time distortions Coronet Highlands: near Sacred Plaza , massive mass outbreaks",,
Tangrowth,#0465,False,Trade Version 1.2.0+,Trade Version 1.2.0+,Forest of Focus,"Grand Underground - Swampy Cave, Bogsunk Cavern (After obtaining the National Pokédex)","Grand Underground - Swampy Cave, Bogsunk Cavern (After obtaining the National Pokédex)","Crimson Mirelands: Gapejaw Bog  (also mass outbreaks nearby), massive mass outbreaks Cobalt Coastlands: near Crossing Slope (mass outbreaks) Alabaster Icelands: Space-time distortions",,
Electivire,#0466,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Giant's Bed, Frigid Sea, Three- Point Pass, Ballimere Lake (Wanderer) Frostpoint Field, Giant's Bed, Three- Point Pass, Frigid Sea, Ballimere Lake (Max Raid Battle)",Evolve Electabuzz,Trade,"Coronet Highlands: Cloudcap Pass , massive mass outbreaks Alabaster Icelands: Space-time distortions",,
Magmortar,#0467,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Slippery Slope, Giant's Bed, Snowslide Slope, Frigid Sea, Ballimere Lake (Wanderer) Giant's Bed, Snowslide Slope, Ballimere Lake (Max Raid Battle)",Trade,Evolve Magmar,Cobalt Coastlands: massive mass outbreaks Coronet Highlands: Space-time distortions,,
Togekiss,#0468,False,"Dusty Bowl Bridge Field, Hammerlocke Hills, Lake of Outrage, Rolling Fields (Max Raid Battle)","Dusty Bowl Bridge Field, Hammerlocke Hills, Lake of Outrage, Rolling Fields (Max Raid Battle)",,Evolve Togetic,Evolve Togetic,Obsidian Fieldlands: Lake Verity Flying Cobalt Coastlands: massive mass outbreaks,,
Yanmega,#0469,False,Unobtainable,Unobtainable,,Evolve Yanma,Evolve Yanma,"Crimson Mirelands: Gapejaw Bog (mass outbreaks), Droning Meadow , massive mass outbreaks Coronet Highlands: Heavenward Lookout Day (also mass outbreaks Day Night), massive mass outbreaks",,
Leafeon,#0470,False,Lake of Outrage (Wanderer) Giant's Mirror (Max Raid Battle),Lake of Outrage (Wanderer) Giant's Mirror (Max Raid Battle),Giant's Bed (Wanderer) Ballimere Lake (Max Raid Battle),Evolve Eevee,Evolve Eevee,Obsidian Fieldlands: Space-time distortions,,
Glaceon,#0471,False,Lake of Outrage (Wanderer) Hammerlocke Hills (Max Raid Battle),Lake of Outrage (Wanderer) Hammerlocke Hills (Max Raid Battle),Giant's Bed (Wanderer) Ballimere Lake (Max Raid Battle),Evolve Eevee,Evolve Eevee,Alabaster Icelands: Space-time distortions Evolve Eevee,,
Gliscor,#0472,False,Unobtainable,Unobtainable,,Evolve Gligar,Trade,"Coronet Highlands: near Primeval Grotto , massive mass outbreaks",,
Mamoswine,#0473,False,Stony Wilderness (Max Raid Battles),Stony Wilderness (Max Raid Battles),"Slippery Slope (Wanderer) Slippery Slope, Giant's Bed, Snowslide Slope, Frigid Sea (Max Raid Battle)",Evolve Piloswine,Evolve Piloswine,"Alabaster Icelands: Avalanche Slopes (mass outbreaks), Avalugg's Legacy , massive mass outbreaks",,
Porygon-Z,#0474,False,Trade Version 1.2.0+,Trade Version 1.2.0+,Evolve Porygon2,Evolve Porygon2,Evolve Porygon2,Crimson Mirelands: Space-time distortions,,
Gallade,#0475,False,"Bridge Field Dusty Bowl, North Lake Miloch, Stony Wilderness Sw, Rolling Fields (Max Raid Battle)","Bridge Field Dusty Bowl, North Lake Miloch, Stony Wilderness Sw, Rolling Fields (Max Raid Battle)",Challenge Road,Evolve Kirlia♂,Evolve Kirlia♂,"Alabaster Icelands: Snowpoint Temple , massive mass outbreaks",,
Probopass,#0476,False,Unobtainable,Unobtainable,,Evolve Nosepass,Evolve Nosepass,"Coronet Highlands: near Primeval Grotto , massive mass outbreaks",,
Dusknoir,#0477,False,"Stony Wilderness (Wanderer) Giant's Mirror, South Lake Miloch, Stony Wilderness (Max Raid Battles)","Stony Wilderness (Wanderer) Giant's Mirror, South Lake Miloch, Stony Wilderness (Max Raid Battles)",,Evolve Dusclops,Evolve Dusclops,"Cobalt Coastlands: Deadwood Haunt Night Coronet Highlands: Space-time distortions, massive mass outbreaks Alabaster Icelands: massive mass outbreaks",,
Froslass,#0478,False,"Giant's Cap, Hammerlocke Hills (Max Raid Battle)","Giant's Cap, Hammerlocke Hills (Max Raid Battle)","Slippery Slope, Giant's Bed, Old Cemetery, Snowslide Slope, Tunnel to the Top (Wanderer) Max Lair (Dynamax Adventure) Slippery Slope, Old Cemetery, Giant's Foot, Frigid Sea, Ballimere Lake (Max Raid Battle)",Evolve Snorunt♀,Evolve Snorunt♀,"Alabaster Icelands: Avalanche Slopes Night, Bonechill Wastes Night, Avalugg's Legacy Night, Snowpoint Temple Night, near Pearl Settlement Night, Ice Column Chamber , massive mass outbreaks",,
Rotom,#0479,False,Lake of Outrage Hammerlocke Hills (Max Raid Battle) (Heat/ Wash/ Frost/ Fan/ Mow Rotom),Lake of Outrage Hammerlocke Hills (Max Raid Battle) (Heat/ Wash/ Frost/ Fan/ Mow Rotom),Workout Sea (Wanderer) (All Forms) Max Lair (Dynamax Adventure),T V in Old Chateau Night (Only one) (After obtaining the National Pokédex),T V in Old Chateau Night (Only one) (After obtaining the National Pokédex),"Coronet Highlands: Celestica Ruins (in boxes), Sacred Plaza (also in boxes), Stonetooth Rows",,
Uxie,#0480,False,Trade Version 1.3.0+,Trade Version 1.3.0+,Max Lair (Dynamax Adventure) (Only one),Acuity Cavern (Only one),Acuity Cavern (Only one),Alabaster Icelands: Acuity Cavern (Only one),,
Mesprit,#0481,False,Trade Version 1.3.0+,Trade Version 1.3.0+,Max Lair (Dynamax Adventure) (Only one),Roaming Sinnoh (Only one),Roaming Sinnoh (Only one),Obsidian Fieldlands: Verity Cavern (Only one),,
Azelf,#0482,False,Trade Version 1.3.0+,Trade Version 1.3.0+,Max Lair (Dynamax Adventure) (Only one),Valor Cavern (Only one),Valor Cavern (Only one),Crimson Mirelands: Valor Cavern (Only one),,
