Pokemon,No.,Caught?,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee
Suicune,#0245,False,Trade,Trade,Ultra Space Wilds (Water World) (requires Raikou and Entei in party) (Only one),Ultra Space Wilds (Water World) (requires Raikou and Entei in party) (Only one),Unobtainable,Unobtainable
Larvitar,#0246,False,Trade,Trade,Diglett's Tunnel,Diglett's Tunnel,Unobtainable,Unobtainable
Pupitar,#0247,False,Trade,Trade,Evolve Larvitar,Evolve Larvitar,Unobtainable,Unobtainable
Tyranitar,#0248,False,Trade,Trade,Evolve Pupitar,Evolve Pupitar,Unobtainable,Unobtainable
Lugia,#0249,False,"Trade, Event","Trade, Event","Trade, Event",Ultra Space Wilds (Water World) (Only one),Unobtainable,Unobtainable
Ho-Oh,#0250,False,"Trade, Event","Trade, Event",Ultra Space Wilds (Cliff World) (Only one),"Trade, Event",Unobtainable,Unobtainable
Celebi,#0251,False,Event,Event,Event,Event,Unobtainable,Unobtainable
Treecko,#0252,False,Trade,Trade,Breed Grovyle or Sceptile,Breed Grovyle or Sceptile,Unobtainable,Unobtainable
Grovyle,#0253,False,Trade,Trade,Route 5 (Island Scan) Fr,Route 5 (Island Scan) Fr,Unobtainable,Unobtainable
Sceptile,#0254,False,Trade,Trade,Evolve Grovyle,Evolve Grovyle,Unobtainable,Unobtainable
Torchic,#0255,False,Trade,Trade,Breed Combusken or Blaziken,Breed Combusken or Blaziken,Unobtainable,Unobtainable
Combusken,#0256,False,Trade,Trade,Route 8 (Island Scan) Tu,Route 8 (Island Scan) Tu,Unobtainable,Unobtainable
Blaziken,#0257,False,Trade,Trade,Evolve Combusken,Evolve Combusken,Unobtainable,Unobtainable
Mudkip,#0258,False,Trade,Trade,Breed Marshtomp or Swampert,Breed Marshtomp or Swampert,Unobtainable,Unobtainable
Marshtomp,#0259,False,Trade,Trade,Brooklet Hill (Island Scan) Sa,Brooklet Hill (Island Scan) Sa,Unobtainable,Unobtainable
Swampert,#0260,False,Trade,Trade,Evolve Marshtomp,Evolve Marshtomp,Unobtainable,Unobtainable
Poochyena,#0261,False,Pokémon Bank,Pokémon Bank,"Pokémon Bank, Breed event Mightyena","Pokémon Bank, Breed event Mightyena",Unobtainable,Unobtainable
Mightyena,#0262,False,Pokémon Bank,Pokémon Bank,"Pokémon Bank, Event","Pokémon Bank, Event",Unobtainable,Unobtainable
Zigzagoon,#0263,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Linoone,#0264,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Wurmple,#0265,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Silcoon,#0266,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Beautifly,#0267,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Cascoon,#0268,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Dustox,#0269,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Lotad,#0270,False,Trade,Trade,Breed Lombre or Ludicolo,Breed Lombre or Ludicolo,Unobtainable,Unobtainable
Lombre,#0271,False,Trade,Trade,Ultra Space Wilds (Water World),Ultra Space Wilds (Water World),Unobtainable,Unobtainable
Ludicolo,#0272,False,Trade,Trade,Evolve Lombre,Evolve Lombre,Unobtainable,Unobtainable
Seedot,#0273,False,Trade,Trade,Breed Nuzleaf or Shiftry,Breed Nuzleaf or Shiftry,Unobtainable,Unobtainable
Nuzleaf,#0274,False,Trade,Trade,Ultra Space Wilds (Rocky World),Ultra Space Wilds (Rocky World),Unobtainable,Unobtainable
Shiftry,#0275,False,Trade,Trade,Evolve Nuzleaf,Evolve Nuzleaf,Unobtainable,Unobtainable
Taillow,#0276,False,Trade,Trade,Breed Swellow,Breed Swellow,Unobtainable,Unobtainable
Swellow,#0277,False,Trade,Trade,Ultra Space Wilds (Cliff World),Ultra Space Wilds (Cliff World),Unobtainable,Unobtainable
Wingull,#0278,False,"Route 1, Akala Outskirts, Poké Pelago Routes 7 and 8, Melemele Sea, Hano Beach (Surfing) Hau'oli City, Kala'e Bay, Brooklet Hill (Surfing and walking)","Route 1, Akala Outskirts, Poké Pelago Routes 7 and 8, Melemele Sea, Hano Beach (Surfing) Hau'oli City, Kala'e Bay, Brooklet Hill (Surfing and walking)","Route 1, Akala Outskirts, Poké Pelago Routes 7 and 8, Melemele Sea, Hano Beach (Surfing) Hau'oli City, Kala'e Bay, Brooklet Hill (Surfing and walking)","Route 1, Akala Outskirts, Poké Pelago Routes 7 and 8, Melemele Sea, Hano Beach (Surfing) Hau'oli City, Kala'e Bay, Brooklet Hill (Surfing and walking)",Unobtainable,Unobtainable
Pelipper,#0279,False,"Route 16, Ancient Poni Path, Exeggutor Island, Poni Gauntlet, Poni Plains, Poni Wilds, Tapu Village Route 14, Secluded Shore (Surfing) Route 15 (Surfing and walking)","Route 16, Ancient Poni Path, Exeggutor Island, Poni Gauntlet, Poni Plains, Poni Wilds, Tapu Village Route 14, Secluded Shore (Surfing) Route 15 (Surfing and walking)","Route 16, Ancient Poni Path, Exeggutor Island, Poni Gauntlet, Poni Plains, Poni Wilds, Tapu Village Route 14, Poni Breaker Coast (Surfing) Route 15 (Surfing and walking)","Route 16, Ancient Poni Path, Exeggutor Island, Poni Gauntlet, Poni Plains, Poni Wilds, Tapu Village Route 14, Poni Breaker Coast (Surfing) Route 15 (Surfing and walking)",Unobtainable,Unobtainable
Ralts,#0280,False,Trade,Trade,Route 6 (Island Scan) Su,Route 6 (Island Scan) Su,Unobtainable,Unobtainable
Kirlia,#0281,False,Trade,Trade,Evolve Ralts,Evolve Ralts,Unobtainable,Unobtainable
Gardevoir,#0282,False,Trade,Trade,Evolve Kirlia,Evolve Kirlia,Unobtainable,Unobtainable
Surskit,#0283,False,Brooklet Hill Night (Surfing and walking),Brooklet Hill Night (Surfing and walking),Brooklet Hill Night (Surfing and walking),Brooklet Hill Night (Surfing and walking),Unobtainable,Unobtainable
Masquerain,#0284,False,Malie Garden Night,Malie Garden Night,Malie Garden Night,Malie Garden Night,Unobtainable,Unobtainable
Shroomish,#0285,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Breloom,#0286,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Slakoth,#0287,False,Breed Vigoroth or Slaking,Breed Vigoroth or Slaking,Trade,Trade,Unobtainable,Unobtainable
Vigoroth,#0288,False,Route 11 (Island Scan) Fr,Route 11 (Island Scan) Fr,Trade,Trade,Unobtainable,Unobtainable
Slaking,#0289,False,Evolve Vigoroth,Evolve Vigoroth,Trade,Trade,Unobtainable,Unobtainable
Nincada,#0290,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Ninjask,#0291,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Shedinja,#0292,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Whismur,#0293,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Loudred,#0294,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Exploud,#0295,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Makuhita,#0296,False,Route 2,Route 2,Route 2,Route 2,Unobtainable,Unobtainable
Hariyama,#0297,False,Poni Plains,Poni Plains,Poni Plains,Poni Plains,Unobtainable,Unobtainable
Azurill,#0298,False,Breed Marill or Azumarill holding a Sea Incense,Breed Marill or Azumarill holding a Sea Incense,Trade,Trade,Unobtainable,Unobtainable
Nosepass,#0299,False,Akala Outskirts,Akala Outskirts,Akala Outskirts,Akala Outskirts,Unobtainable,Unobtainable
Skitty,#0300,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Delcatty,#0301,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Sableye,#0302,False,"Ten Carat Hill, Vast Poni Canyon (SOS Battle)","Ten Carat Hill, Vast Poni Canyon (SOS Battle)","Ten Carat Hill, Vast Poni Canyon (SOS Battle)","Ten Carat Hill, Vast Poni Canyon (SOS Battle)",Unobtainable,Unobtainable
Mawile,#0303,False,Trade,Trade,Ten Carat Hill,Ten Carat Hill,Unobtainable,Unobtainable
Aron,#0304,False,Trade,Trade,Breed Aggron,Breed Aggron,Unobtainable,Unobtainable
Lairon,#0305,False,Trade,Trade,Evolve Aron,Evolve Aron,Unobtainable,Unobtainable
Aggron,#0306,False,Trade,Trade,Poni Plains (Island Scan) Mo,Poni Plains (Island Scan) Mo,Unobtainable,Unobtainable
Meditite,#0307,False,Trade,Trade,Breed Medicham,Breed Medicham,Unobtainable,Unobtainable
Medicham,#0308,False,Trade,Trade,Ultra Space Wilds (Cave World),Ultra Space Wilds (Cave World),Unobtainable,Unobtainable
Electrike,#0309,False,Trade,Trade,Trade,"Poké Pelago*, Breed Manectric",Unobtainable,Unobtainable
Manectric,#0310,False,Trade,Trade,Trade,Route 12,Unobtainable,Unobtainable
Plusle,#0311,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Minun,#0312,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Volbeat,#0313,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Illumise,#0314,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Roselia,#0315,False,Ula'ula Meadow (Island Scan) We,Ula'ula Meadow (Island Scan) We,Trade,Trade,Unobtainable,Unobtainable
Gulpin,#0316,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Swalot,#0317,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Carvanha,#0318,False,Breed Sharpedo,Breed Sharpedo,Poni Breaker Coast (Fishing),Poni Breaker Coast (Fishing),Unobtainable,Unobtainable
Sharpedo,#0319,False,Poni Breaker Coast,Poni Breaker Coast,Poni Breaker Coast (SOS Battle),Poni Breaker Coast (SOS Battle),Unobtainable,Unobtainable
Wailmer,#0320,False,"Poni Breaker Coast, Seafolk Village (Fishing) Poni Wilds (Fishing and Ambush encounter)","Poni Breaker Coast, Seafolk Village (Fishing) Poni Wilds (Fishing and Ambush encounter)",Seafolk Village (Fishing) Poni Breaker Coast (Fishing and Ambush encounter),Seafolk Village (Fishing) Poni Breaker Coast (Fishing and Ambush encounter),Unobtainable,Unobtainable
Wailord,#0321,False,"Poni Breaker Coast, Seafolk Village (SOS Battle) Poni Wilds (SOS Battle and Ambush encounter)","Poni Breaker Coast, Seafolk Village (SOS Battle) Poni Wilds (SOS Battle and Ambush encounter)",Seafolk Village (SOS Battle) Poni Breaker Coast (SOS Battle and Ambush encounter),Seafolk Village (SOS Battle) Poni Breaker Coast (SOS Battle and Ambush encounter),Unobtainable,Unobtainable
Numel,#0322,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Camerupt,#0323,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Torkoal,#0324,False,"Route 12, Blush Mountain","Route 12, Blush Mountain","Route 12, Blush Mountain","Route 12, Blush Mountain",Unobtainable,Unobtainable
Spoink,#0325,False,Trade,Trade,Breed Grumpig,Breed Grumpig,Unobtainable,Unobtainable
Grumpig,#0326,False,Trade,Trade,Ultra Space Wilds (Rocky World),Ultra Space Wilds (Rocky World),Unobtainable,Unobtainable
Spinda,#0327,False,Ten Carat Hill,Ten Carat Hill,Ten Carat Hill,Ten Carat Hill,Unobtainable,Unobtainable
Trapinch,#0328,False,Haina Desert,Haina Desert,Haina Desert,Haina Desert,Unobtainable,Unobtainable
Vibrava,#0329,False,Evolve Trapinch,Evolve Trapinch,Evolve Trapinch,Evolve Trapinch,Unobtainable,Unobtainable
Flygon,#0330,False,Evolve Vibrava,Evolve Vibrava,Evolve Vibrava,Evolve Vibrava,Unobtainable,Unobtainable
Cacnea,#0331,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Cacturne,#0332,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Swablu,#0333,False,Trade,Trade,Breed Altaria,Breed Altaria,Unobtainable,Unobtainable
Altaria,#0334,False,Trade,Trade,Ultra Space Wilds (Cliff World),Ultra Space Wilds (Cliff World),Unobtainable,Unobtainable
Zangoose,#0335,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Seviper,#0336,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Lunatone,#0337,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Solrock,#0338,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Barboach,#0339,False,"Paniola Town, Poni Gauntlet, Poni Meadow, Seaward Cave, Vast Poni Canyon (Fishing)","Paniola Town, Poni Gauntlet, Poni Meadow, Seaward Cave, Vast Poni Canyon (Fishing)","Paniola Town, Poni Gauntlet, Poni Meadow, Seaward Cave, Vast Poni Canyon (Fishing) Trade Tentacool at Royal Avenue","Paniola Town, Poni Gauntlet, Poni Meadow, Seaward Cave, Vast Poni Canyon (Fishing) Trade Tentacool at Royal Avenue",Unobtainable,Unobtainable
Whiscash,#0340,False,"Paniola Town, Poni Gauntlet, Poni Meadow, Seaward Cave, Vast Poni Canyon (SOS Battle)","Paniola Town, Poni Gauntlet, Poni Meadow, Seaward Cave, Vast Poni Canyon (SOS Battle)","Paniola Town, Poni Gauntlet, Poni Meadow, Seaward Cave, Vast Poni Canyon (SOS Battle)","Paniola Town, Poni Gauntlet, Poni Meadow, Seaward Cave, Vast Poni Canyon (SOS Battle)",Unobtainable,Unobtainable
Corphish,#0341,False,Trade,Trade,Vast Poni Canyon (Fishing),Vast Poni Canyon (Fishing),Unobtainable,Unobtainable
Crawdaunt,#0342,False,Trade,Trade,Vast Poni Canyon (SOS Battle),Vast Poni Canyon (SOS Battle),Unobtainable,Unobtainable
Baltoy,#0343,False,Trade,Trade,Trade,Haina Desert (SOS Battle),Unobtainable,Unobtainable
Claydol,#0344,False,Trade,Trade,Trade,Evolve Baltoy,Unobtainable,Unobtainable
Lileep,#0345,False,Trade Receive Root Fossil held by a traded Pokémon and revive it,Trade Receive Root Fossil held by a traded Pokémon and revive it,Revive from Root Fossil at the Fossil Restoration Center on Route 8,Revive from Root Fossil at the Fossil Restoration Center on Route 8,Unobtainable,Unobtainable
Cradily,#0346,False,Trade,Trade,Evolve Lileep,Evolve Lileep,Unobtainable,Unobtainable
Anorith,#0347,False,Trade Receive Claw Fossil held by a traded Pokémon and revive it,Trade Receive Claw Fossil held by a traded Pokémon and revive it,Revive from Claw Fossil at the Fossil Restoration Center on Route 8,Revive from Claw Fossil at the Fossil Restoration Center on Route 8,Unobtainable,Unobtainable
Armaldo,#0348,False,Trade,Trade,Evolve Anorith,Evolve Anorith,Unobtainable,Unobtainable
Feebas,#0349,False,Brooklet Hill (Fishing),Brooklet Hill (Fishing),Brooklet Hill (Fishing),Brooklet Hill (Fishing),Unobtainable,Unobtainable
Milotic,#0350,False,Evolve Feebas,Evolve Feebas,Evolve Feebas,Evolve Feebas,Unobtainable,Unobtainable
Castform,#0351,False,"Lush Jungle, Malie Garden, Tapu Village, Route 17, Haina Desert, Exeggutor Island, Mount Lanakila (SOS Battle in weather)","Lush Jungle, Malie Garden, Tapu Village, Route 17, Haina Desert, Exeggutor Island, Mount Lanakila (SOS Battle in weather)","Lush Jungle, Malie Garden, Tapu Village, Route 17, Haina Desert, Exeggutor Island, Mount Lanakila (SOS Battle in weather)","Lush Jungle, Malie Garden, Tapu Village, Route 17, Haina Desert, Exeggutor Island, Mount Lanakila (SOS Battle in weather)",Unobtainable,Unobtainable
Kecleon,#0352,False,Trade,Trade,Dividing Peak Tunnel,Dividing Peak Tunnel,Unobtainable,Unobtainable
Shuppet,#0353,False,Trade,Trade,Thrifty Megamart (Abandoned Site),Thrifty Megamart (Abandoned Site),Unobtainable,Unobtainable
Banette,#0354,False,Trade,Trade,"Evolve Shuppet, Poké Pelago*","Evolve Shuppet, Poké Pelago*",Unobtainable,Unobtainable
Duskull,#0355,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Dusclops,#0356,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Tropius,#0357,False,Trade,Trade,"Exeggutor Island, Poké Pelago*","Exeggutor Island, Poké Pelago*",Unobtainable,Unobtainable
Chimecho,#0358,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Absol,#0359,False,"Mount Lanakila, Tapu Village","Mount Lanakila, Tapu Village","Mount Lanakila, Tapu Village","Mount Lanakila, Tapu Village",Unobtainable,Unobtainable
Wynaut,#0360,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Snorunt,#0361,False,"Mount Lanakila, Tapu Village","Mount Lanakila, Tapu Village","Mount Lanakila, Tapu Village","Mount Lanakila, Tapu Village",Unobtainable,Unobtainable
Glalie,#0362,False,Mount Lanakila (SOS Battle),Mount Lanakila (SOS Battle),Mount Lanakila,Mount Lanakila,Unobtainable,Unobtainable
Spheal,#0363,False,Route 7 (Island Scan) Mo,Route 7 (Island Scan) Mo,Route 7 (Island Scan) Mo,Route 7 (Island Scan) Mo,Unobtainable,Unobtainable
Sealeo,#0364,False,Evolve Spheal,Evolve Spheal,Evolve Spheal,Evolve Spheal,Unobtainable,Unobtainable
Walrein,#0365,False,Evolve Sealeo,Evolve Sealeo,Evolve Sealeo,Evolve Sealeo,Unobtainable,Unobtainable
Clamperl,#0366,False,Trade,Trade,"Route 15, Melemele Sea (Fishing)","Route 15, Melemele Sea (Fishing)",Unobtainable,Unobtainable
Huntail,#0367,False,Trade,Trade,"Route 15, Melemele Sea Night (SOS Battle, fishing)","Route 15, Melemele Sea Night (SOS Battle, fishing)",Unobtainable,Unobtainable
Gorebyss,#0368,False,Trade,Trade,"Route 15, Melemele Sea Day (SOS Battle, fishing)","Route 15, Melemele Sea Day (SOS Battle, fishing)",Unobtainable,Unobtainable
Relicanth,#0369,False,Poni Wilds (Fishing),Poni Wilds (Fishing),Poni Breaker Coast (Fishing),Poni Breaker Coast (Fishing),Unobtainable,Unobtainable
Luvdisc,#0370,False,"Route 9, Melemele Sea (Fishing)","Route 9, Melemele Sea (Fishing)","Route 9, Melemele Sea (Fishing)","Route 9, Melemele Sea (Fishing)",Unobtainable,Unobtainable
Bagon,#0371,False,"Route 3, Kala'e Bay","Route 3, Kala'e Bay","Route 3, Kala'e Bay","Route 3, Kala'e Bay",Unobtainable,Unobtainable
Shelgon,#0372,False,Kala'e Bay (SOS Battle),Kala'e Bay (SOS Battle),Kala'e Bay (SOS Battle),Kala'e Bay (SOS Battle),Unobtainable,Unobtainable
Salamence,#0373,False,Route 3 (SOS Battle),Route 3 (SOS Battle),Route 3 (SOS Battle),Route 3 (SOS Battle),Unobtainable,Unobtainable
Beldum,#0374,False,Mount Hokulani,Mount Hokulani,Mount Hokulani,Mount Hokulani,Unobtainable,Unobtainable
Metang,#0375,False,"Evolve Beldum, Poké Pelago*","Evolve Beldum, Poké Pelago*",Evolve Beldum,Evolve Beldum,Unobtainable,Unobtainable
Metagross,#0376,False,Evolve Metang,Evolve Metang,Evolve Metang,Evolve Metang,Unobtainable,Unobtainable
Regirock,#0377,False,Trade,Trade,Ultra Space Wilds (Cave World) (Only one),Ultra Space Wilds (Cave World) (Only one),Unobtainable,Unobtainable
Regice,#0378,False,Trade,Trade,Ultra Space Wilds (Cave World) (Only one),Ultra Space Wilds (Cave World) (Only one),Unobtainable,Unobtainable
Registeel,#0379,False,Trade,Trade,Ultra Space Wilds (Cave World) (Only one),Ultra Space Wilds (Cave World) (Only one),Unobtainable,Unobtainable
Latias,#0380,False,Trade,Trade,Trade,Ultra Space Wilds (Water World) (Only one),Unobtainable,Unobtainable
Latios,#0381,False,Trade,Trade,Ultra Space Wilds (Water World) (Only one),Trade,Unobtainable,Unobtainable
Kyogre,#0382,False,Trade,Trade,Trade,Ultra Space Wilds (Water World) (Only one),Unobtainable,Unobtainable
Groudon,#0383,False,Trade,Trade,Ultra Space Wilds (Cave World) (Only one),Trade,Unobtainable,Unobtainable
Rayquaza,#0384,False,Trade,Trade,Ultra Space Wilds (Cliff World) (requires Groudon and Kyogre in party) (Only one),Ultra Space Wilds (Cliff World) (requires Groudon and Kyogre in party) (Only one),Unobtainable,Unobtainable
Jirachi,#0385,False,"Pokémon Bank, Event","Pokémon Bank, Event","Pokémon Bank, Event","Pokémon Bank, Event",Unobtainable,Unobtainable
Deoxys,#0386,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Turtwig,#0387,False,Trade,Trade,Breed Grotle or Torterra,Breed Grotle or Torterra,Unobtainable,Unobtainable
Grotle,#0388,False,Trade,Trade,Ula'ula Meadow (Island Scan) We,Ula'ula Meadow (Island Scan) We,Unobtainable,Unobtainable
Torterra,#0389,False,Trade,Trade,Evolve Grotle,Evolve Grotle,Unobtainable,Unobtainable
Chimchar,#0390,False,Trade,Trade,Breed Monferno or Infernape,Breed Monferno or Infernape,Unobtainable,Unobtainable
Monferno,#0391,False,Trade,Trade,Route 11 (Island Scan) Fr,Route 11 (Island Scan) Fr,Unobtainable,Unobtainable
Infernape,#0392,False,Trade,Trade,Evolve Monferno,Evolve Monferno,Unobtainable,Unobtainable
Piplup,#0393,False,Trade,Trade,Breed Prinplup or Empoleon,Breed Prinplup or Empoleon,Unobtainable,Unobtainable
Prinplup,#0394,False,Trade,Trade,Route 16 (Island Scan) Tu,Route 16 (Island Scan) Tu,Unobtainable,Unobtainable
Empoleon,#0395,False,Trade,Trade,Evolve Prinplup,Evolve Prinplup,Unobtainable,Unobtainable
Starly,#0396,False,Breed Staravia or Staraptor,Breed Staravia or Staraptor,Trade,Trade,Unobtainable,Unobtainable
Staravia,#0397,False,Route 10 (Island Scan) Th,Route 10 (Island Scan) Th,Trade,Trade,Unobtainable,Unobtainable
Staraptor,#0398,False,Evolve Staravia,Evolve Staravia,Trade,Trade,Unobtainable,Unobtainable
Bidoof,#0399,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Bibarel,#0400,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Kricketot,#0401,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Kricketune,#0402,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Shinx,#0403,False,Breed Luxio or Luxray,Breed Luxio or Luxray,Trade,Trade,Unobtainable,Unobtainable
Luxio,#0404,False,Route 8 (Island Scan) Tu,Route 8 (Island Scan) Tu,Trade,Trade,Unobtainable,Unobtainable
Luxray,#0405,False,Evolve Luxio,Evolve Luxio,Trade,Trade,Unobtainable,Unobtainable
Budew,#0406,False,Breed Roselia or Roserade holding a Rose Incense,Breed Roselia or Roserade holding a Rose Incense,Trade,Trade,Unobtainable,Unobtainable
Roserade,#0407,False,Evolve Roselia,Evolve Roselia,Trade,Trade,Unobtainable,Unobtainable
Cranidos,#0408,False,Revive from Skull Fossil at the Fossil Restoration Center on Route 8,Trade Receive Skull Fossil held by a traded Pokémon and revive it,Revive from Skull Fossil at the Fossil Restoration Center on Route 8,Revive from Skull Fossil at the Fossil Restoration Center on Route 8,Unobtainable,Unobtainable
Rampardos,#0409,False,Evolve Cranidos,Trade,Evolve Cranidos,Evolve Cranidos,Unobtainable,Unobtainable
Shieldon,#0410,False,Trade Receive Armor Fossil held by a traded Pokémon and revive it,Revive from Armor Fossil at the Fossil Restoration Center on Route 8,Revive from Armor Fossil at the Fossil Restoration Center on Route 8,Revive from Armor Fossil at the Fossil Restoration Center on Route 8,Unobtainable,Unobtainable
Bastiodon,#0411,False,Trade,Evolve Shieldon,Evolve Shieldon,Evolve Shieldon,Unobtainable,Unobtainable
Burmy,#0412,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Wormadam,#0413,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Mothim,#0414,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Combee,#0415,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Vespiquen,#0416,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Pachirisu,#0417,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Buizel,#0418,False,Trade,Trade,Breed Floatzel,Breed Floatzel,Unobtainable,Unobtainable
Floatzel,#0419,False,Trade,Trade,Ultra Space Wilds (Water World),Ultra Space Wilds (Water World),Unobtainable,Unobtainable
Cherubi,#0420,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Cherrim,#0421,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Shellos,#0422,False,Breed Gastrodon (East Sea) Trade (West Sea),Breed Gastrodon (East Sea) Trade (West Sea),Breed Gastrodon (East Sea) Trade Granbull in Seafolk Village (West Sea),Breed Gastrodon (East Sea) Trade Granbull in Seafolk Village (West Sea),Unobtainable,Unobtainable
Gastrodon,#0423,False,"Ancient Poni Path, Exeggutor Island, Poni Wilds (East Sea) Trade (West Sea)","Ancient Poni Path, Exeggutor Island, Poni Wilds (East Sea) Trade (West Sea)","Ancient Poni Path, Exeggutor Island, Poni Wilds (East Sea) Poni Breaker Coast (Surfing) (East Sea) Evolve Shellos (West Sea)","Ancient Poni Path, Exeggutor Island, Poni Wilds (East Sea) Poni Breaker Coast (Surfing) (East Sea) Evolve Shellos (West Sea)",Unobtainable,Unobtainable
Ambipom,#0424,False,Trade,Trade,Poni Plains (SOS Battle),Poni Plains (SOS Battle),Unobtainable,Unobtainable
Drifloon,#0425,False,Hau'oli Cemetery Day,Hau'oli Cemetery Day,Hau'oli Cemetery Day Trainers' School Night (One),Hau'oli Cemetery Day Trainers' School Night (One),Unobtainable,Unobtainable
Drifblim,#0426,False,"Evolve Drifloon, Poké Pelago","Evolve Drifloon, Poké Pelago",Evolve Drifloon,Evolve Drifloon,Unobtainable,Unobtainable
Buneary,#0427,False,Trade,Trade,"Route 1, Poni Grove","Route 1, Poni Grove",Unobtainable,Unobtainable
