Pokemon,No.,Caught?,Ruby,Sapphire,Emerald,FireRed,LeafGreen,Colosseum,XD
Wingull,#0278,False,"Routes 103, 104, 110, 115, 118, 121, and 123, outside Mt. Pyre (Grass) Routes 103, 104, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, and 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Slateport City (Surfing)","Routes 103, 104, 110, 115, 118, 121, and 123, outside Mt. Pyre (Grass) Routes 103, 104, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, and 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Slateport City (Surfing)","Routes 103, 104, 110, 115, 118, 121, and 123, outside Mt. Pyre (Grass) Routes 103, 104, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, and 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Slateport City (Surfing)",Trade,Trade,Trade,Trade
Pelipper,#0279,False,"Routes 103, 104, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, and 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Slateport City (Surfing)","Routes 103, 104, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, and 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Slateport City (Surfing)","Routes 103, 104, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, and 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Slateport City (Surfing)",Trade,Trade,Trade,Trade
Ralts,#0280,False,Route 102,Route 102,Route 102,Trade,Trade,Trade,ON B S (Shadow)
Kirlia,#0281,False,Evolve Ralts,Evolve Ralts,Evolve Ralts,Trade,Trade,Trade,Evolve Ralts
Gardevoir,#0282,False,Evolve Kirlia,Evolve Kirlia,Evolve Kirlia,Trade,Trade,Trade,Evolve Kirlia
Surskit,#0283,False,"Routes 102, 111, 114, 117, and 120","Routes 102, 111, 114, 117, and 120","Routes 102, 114, 117, and 120 (Swarm; after mixing records with Ruby or Sapphire)","Trade, Event","Trade, Event",Trade,Oasis Poké Spot
Masquerain,#0284,False,Evolve Surskit,Evolve Surskit,Evolve swarm Surskit*,Trade,Trade,Trade,Evolve Surskit
Shroomish,#0285,False,Petalburg Woods,Petalburg Woods,Petalburg Woods,Trade,Trade,Trade,Cipher Lab (Shadow)
Breloom,#0286,False,Evolve Shroomish,Evolve Shroomish,Evolve Shroomish,Trade,Trade,Trade,Evolve Shroomish
Slakoth,#0287,False,Petalburg Woods,Petalburg Woods,Petalburg Woods,Trade,Trade,Trade,Trade
Vigoroth,#0288,False,Evolve Slakoth,Evolve Slakoth,Evolve Slakoth,Trade,Trade,Trade,Trade
Slaking,#0289,False,Evolve Vigoroth,Evolve Vigoroth,Evolve Vigoroth,Trade,Trade,Trade,Trade
Nincada,#0290,False,Route 116,Route 116,Route 116,Trade,Trade,Trade,Trade
Ninjask,#0291,False,Evolve Nincada,Evolve Nincada,Evolve Nincada,Trade,Trade,Trade,Trade
Shedinja,#0292,False,Evolve Nincada with extra slot in party,Evolve Nincada with extra slot in party,Evolve Nincada with extra slot in party,Trade,Trade,Trade,Trade
Whismur,#0293,False,"Route 116, Rusturf Tunnel, Victory Road","Route 116, Rusturf Tunnel, Victory Road","Route 116, Desert Underpass, Rusturf Tunnel, Victory Road","Trade, Event","Trade, Event",Trade,Trade
Loudred,#0294,False,Victory Road,Victory Road,"Victory Road, Desert Underpass",Trade,Trade,Trade,Trade
Exploud,#0295,False,Evolve Loudred,Evolve Loudred,Evolve Loudred,Trade,Trade,Trade,Trade
Makuhita,#0296,False,"Granite Cave, Victory Road Trade Slakoth in Rustboro City","Granite Cave, Victory Road Trade Slakoth in Rustboro City","Granite Cave, Victory Road",Trade,Trade,Mayor's House (Shadow),ON B S (Shadow)
Hariyama,#0297,False,Victory Road,Victory Road,Victory Road,Trade,Trade,Evolve Makuhita,Evolve Makuhita
Azurill,#0298,False,Breed Marill or Azumarill holding a Sea Incense,Breed Marill or Azumarill holding a Sea Incense,Breed Marill or Azumarill holding a Sea Incense,Trade,Breed Marill or Azumarill holding a Sea Incense,Trade,Trade
Nosepass,#0299,False,Granite Cave (Rock Smash),Granite Cave (Rock Smash),Granite Cave (Rock Smash),Trade,Trade,Trade,"Pyrite Colosseum, Realgam Colosseum, Poké Spots (Shadow)"
Skitty,#0300,False,Route 116 Trade Pikachu in Fortree City,Route 116 Trade Pikachu in Fortree City,Route 116,Trade,Trade,Trade,Trade
Delcatty,#0301,False,Evolve Skitty,Evolve Skitty,Evolve Skitty,Trade,Trade,Trade,Cipher Lab (Shadow)
Sableye,#0302,False,"Trade, Event","Granite Cave, Cave of Origin, Sky Pillar, Victory Road","Granite Cave, Cave of Origin, Sky Pillar, Victory Road","Trade, Event","Trade, Event",Trade,Citadark Isle (Shadow)
Mawile,#0303,False,"Granite Cave, Cave of Origin, Victory Road, Sky Pillar","Trade, Event",Victory Road,"Trade, Event","Trade, Event",Trade,ON B S (Shadow)
Aron,#0304,False,"Granite Cave, Victory Road","Granite Cave, Victory Road","Granite Cave, Victory Road",Trade,Trade,Trade,Cave Poké Spot
Lairon,#0305,False,Victory Road,Victory Road,Victory Road,Trade,Trade,Trade,Evolve Aron
Aggron,#0306,False,Evolve Lairon,Evolve Lairon,Evolve Lairon,Trade,Trade,Trade,Evolve Lairon
Meditite,#0307,False,"Mt. Pyre, Victory Road","Mt. Pyre, Victory Road","Trade, Event","Trade, Event","Trade, Event",Pyrite Cave (Shadow),Trade Trapinch to Duking in Pyrite Town
Medicham,#0308,False,Victory Road,Victory Road,Trade,Trade,Trade,Evolve Meditite,Evolve Meditite
Electrike,#0309,False,Routes 110 and 118,Routes 110 and 118,Routes 110 and 118,Trade,Trade,Trade,Trade
Manectric,#0310,False,Route 118,Route 118,Route 118,Trade,Trade,Trade,Citadark Isle (Shadow)
Plusle,#0311,False,Route 110,Route 110,Route 110Trade Volbeat in Fortree City,"Trade, Event","Trade, Event",Gift from Duking in Pyrite Town,Trade
Minun,#0312,False,Route 110,Route 110,Route 110,"Trade, Event","Trade, Event",Trade,Trade
Volbeat,#0313,False,Route 117,Route 117,Route 117,Trade,Trade,Trade,Trade
Illumise,#0314,False,Route 117,Route 117,Route 117,Trade,Trade,Trade,Trade
Roselia,#0315,False,Route 117,Route 117,"Trade, Event","Trade, Event","Trade, Event",Trade,Prestige Precept Center (Shadow)
Gulpin,#0316,False,Route 110,Route 110,Route 110,Trade,Trade,Trade,Cipher Lab (Shadow)
Swalot,#0317,False,Evolve Gulpin,Evolve Gulpin,Evolve Gulpin,Trade,Trade,Trade,Evolve Gulpin
Carvanha,#0318,False,Routes 118 and 119 (Good Rod or Super Rod),Routes 118 and 119 (Good Rod or Super Rod),Routes 118 and 119 (Good Rod or Super Rod),Trade,Trade,Trade,Cipher Lab (Shadow)
Sharpedo,#0319,False,"Routes 103, 118, 122, 124, 125, 126, 127, 129, 130, 131, 132, 133, and 134, Mossdeep City, Pacifidlog Town (Super Rod)","Routes 103, 118, 122, 124, 125, 126, 127, 129, 130, 131, 132, 133, and 134, Mossdeep City, Pacifidlog Town (Super Rod)","Routes 103, 118, 122, 124, 125, 126, 127, 129, 130, 131, 132, 133, and 134, Mossdeep City, Pacifidlog Town (Super Rod)",Trade,Trade,Trade,Evolve Carvanha
Wailmer,#0320,False,"Routes 103, 105, 106, 107, 108, 109, 110, 115, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Shoal Cave, Slateport City (Fishing)","Routes 103, 105, 106, 107, 108, 109, 110, 115, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Shoal Cave, Slateport City (Fishing)","Routes 103, 105, 106, 107, 108, 109, 110, 115, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Shoal Cave, Slateport City (Fishing)",Trade,Trade,Trade,Trade
Wailord,#0321,False,Route 129 (Surfing),Route 129 (Surfing),Route 129 (Surfing),Trade,Trade,Trade,Trade
Numel,#0322,False,"Route 112, Fiery Path, Jagged Pass","Route 112, Fiery Path, Jagged Pass","Route 112, Fiery Path, Jagged Pass",Trade,Trade,Trade,Cipher Lab (Shadow)
Camerupt,#0323,False,Evolve Numel,Evolve Numel,Evolve Numel,Trade,Trade,Trade,Evolve Numel
Torkoal,#0324,False,Fiery Path,Fiery Path,"Fiery Path, Magma Hideout",Trade,Trade,Trade,Trade
Spoink,#0325,False,Jagged Pass,Jagged Pass,Jagged Pass,"Trade, Event","Trade, Event",Trade,Trade
Grumpig,#0326,False,Evolve Spoink,Evolve Spoink,Evolve Spoink,Trade,Trade,Trade,Trade
Spinda,#0327,False,Route 113,Route 113,Route 113,"Trade, Event","Trade, Event",Trade,Trade
Trapinch,#0328,False,Route 111,Route 111,"Route 111, Mirage Tower",Trade,Trade,Trade,Rock Poké Spot
Vibrava,#0329,False,Evolve Trapinch,Evolve Trapinch,Evolve Trapinch,Trade,Trade,Shadow P K M N Lab (Shadow),Evolve Trapinch
Flygon,#0330,False,Evolve Vibrava,Evolve Vibrava,Evolve Vibrava,Trade,Trade,Evolve Vibrava,Evolve Vibrava
Cacnea,#0331,False,Route 111,Route 111,Route 111,Trade,Trade,Trade,Trade
Cacturne,#0332,False,Evolve Cacnea,Evolve Cacnea,Evolve Cacnea,Trade,Trade,Trade,Trade
Swablu,#0333,False,Routes 114 and 115,Routes 114 and 115,Routes 114 and 115,Trade,Trade,Pyrite Cave (Shadow),Trade
Altaria,#0334,False,Sky Pillar,Sky Pillar,Sky Pillar,Trade,Trade,Evolve Swablu,Citadark Isle (Shadow)
Zangoose,#0335,False,Route 114,"Trade, Event","Trade, Event","Trade, Event","Trade, Event",Trade,Cipher Key Lair (Shadow)
Seviper,#0336,False,Trade,Route 114,Route 114,Trade,Trade,Trade,Trade
Lunatone,#0337,False,"Trade, Event",Meteor Falls,"Trade, Event","Trade, Event","Trade, Event",Trade,Phenac Stadium (Shadow)
Solrock,#0338,False,Meteor Falls,"Trade, Event",Meteor Falls,"Trade, Event","Trade, Event",Trade,Citadark Isle (Shadow)
Barboach,#0339,False,"Routes 111, 114, 120, Meteor Falls, Victory Road (Fishing)","Routes 111, 114, 120, Meteor Falls, Victory Road (Fishing)","Routes 111, 114, 120, Meteor Falls, Victory Road (Fishing)",Trade,Trade,Trade,Trade
Whiscash,#0340,False,"Meteor Falls, Victory Road (Super Rod)","Meteor Falls, Victory Road (Super Rod)","Meteor Falls, Victory Road (Super Rod)",Trade,Trade,Trade,Trade
Corphish,#0341,False,"Routes 102 and 117, Petalburg City (Good Rod or Super Rod)","Routes 102 and 117, Petalburg City (Good Rod or Super Rod)","Routes 102 and 117, Petalburg City (Good Rod or Super Rod)","Trade, Event","Trade, Event",Trade,Trade
Crawdaunt,#0342,False,Evolve Corphish,Evolve Corphish,Evolve Corphish,Trade,Trade,Trade,Trade
Baltoy,#0343,False,Route 111,Route 111,Route 111,Trade,Trade,Trade,Cipher Lab (Shadow)
Claydol,#0344,False,Sky Pillar,Sky Pillar,Sky Pillar,Trade,Trade,Trade,Evolve Baltoy
Lileep,#0345,False,Revive from Root Fossil at the Devon Corporation in Rustboro City,Revive from Root Fossil at the Devon Corporation in Rustboro City,Revive from Root Fossil at the Devon Corporation in Rustboro City,Trade,Trade,Trade,Trade
Cradily,#0346,False,Evolve Lileep,Evolve Lileep,Evolve Lileep,Trade,Trade,Trade,Trade
Anorith,#0347,False,Revive from Claw Fossil at the Devon Corporation in Rustboro City,Revive from Claw Fossil at the Devon Corporation in Rustboro City,Revive from Claw Fossil at the Devon Corporation in Rustboro City,Trade,Trade,Trade,Trade
Armaldo,#0348,False,Evolve Anorith,Evolve Anorith,Evolve Anorith,Trade,Trade,Trade,Trade
Feebas,#0349,False,Route 119 (six fishing spots),Route 119 (six fishing spots),Route 119 (six fishing spots),Trade,Trade,Trade,Trade
Milotic,#0350,False,Evolve Feebas,Evolve Feebas,Evolve Feebas,Trade,Trade,Trade,Trade
Castform,#0351,False,Weather Institute (Only one),Weather Institute (Only one),Weather Institute (Only one),Trade,Trade,Trade,Trade
Kecleon,#0352,False,"Routes 118, 119, 120, 121, and 123","Routes 118, 119, 120, 121, and 123","Routes 118, 119, 120, 121, and 123",Trade,Trade,Trade,Trade
Shuppet,#0353,False,Mt. Pyre,"Routes 121 and 123, Mt. Pyre","Routes 121 and 123, Mt. Pyre",Trade,Trade,Trade,Trade
Banette,#0354,False,Evolve Shuppet,Sky Pillar,Sky Pillar,Trade,Trade,Trade,Citadark Isle (Shadow)
Duskull,#0355,False,"Routes 121 and 123, Mt. Pyre",Mt. Pyre,Mt. Pyre,Trade,Trade,Trade,ON B S (Shadow)
Dusclops,#0356,False,Sky Pillar,Evolve Duskull,Evolve Duskull,Trade,Trade,Trade,Evolve Duskull
Tropius,#0357,False,Route 119,Route 119,Route 119,Trade,Trade,Tower Colosseum (Shadow),Trade
Chimecho,#0358,False,Top of Mt. Pyre,Top of Mt. Pyre,Top of Mt. Pyre,Trade,Trade,Trade,Trade
Absol,#0359,False,Route 120,Route 120,Route 120,"Trade, Event","Trade, Event",Tower Colosseum (Shadow),Trade
Wynaut,#0360,False,Hatch Egg received from an old couple in Lavaridge Town Route 130 (Mirage Island),Hatch Egg received from an old couple in Lavaridge Town Route 130 (Mirage Island),Hatch Egg received from an old couple in Lavaridge Town Route 130 (Mirage Island),Breed Wobbuffet holding a Lax Incense,Breed Wobbuffet holding a Lax Incense,Trade,Trade
Snorunt,#0361,False,Shoal Cave (low tide),Shoal Cave (low tide),Shoal Cave (low tide),Trade,Trade,Trade,Phenac City (Shadow)
Glalie,#0362,False,Evolve Snorunt,Evolve Snorunt,Evolve Snorunt,Trade,Trade,Trade,Evolve Snorunt
Spheal,#0363,False,Shoal Cave,Shoal Cave,Shoal Cave,Trade,Trade,Trade,Cipher Lab (Shadow)
Sealeo,#0364,False,Evolve Spheal,Evolve Spheal,Evolve Spheal,Trade,Trade,Trade,Evolve Spheal
Walrein,#0365,False,Evolve Sealeo,Evolve Sealeo,Evolve Sealeo,Trade,Trade,Trade,Evolve Sealeo
Clamperl,#0366,False,Underwater (Routes 124 and 126),Underwater (Routes 124 and 126),Underwater (Routes 124 and 126),Trade,Trade,Trade,Trade
Huntail,#0367,False,Evolve Clamperl,Evolve Clamperl,Evolve Clamperl,Trade,Trade,Trade,Trade
Gorebyss,#0368,False,Evolve Clamperl,Evolve Clamperl,Evolve Clamperl,Trade,Trade,Trade,Trade
Relicanth,#0369,False,Underwater (Routes 124 and 126),Underwater (Routes 124 and 126),Underwater (Routes 124 and 126),Trade,Trade,Trade,Trade
Luvdisc,#0370,False,"Route 128, Ever Grande City (Good Rod or Super Rod)","Route 128, Ever Grande City (Good Rod or Super Rod)","Route 128, Ever Grande City (Good Rod or Super Rod)",Trade,Trade,Trade,Trade
Bagon,#0371,False,Meteor Falls,Meteor Falls,Meteor Falls,Trade,Trade,Trade,Trade
Shelgon,#0372,False,Evolve Bagon,Evolve Bagon,Evolve Bagon,Trade,Trade,Trade,Trade
Salamence,#0373,False,Evolve Shelgon,Evolve Shelgon,Evolve Shelgon,Trade,Trade,Trade,Citadark Isle (Shadow)
Beldum,#0374,False,Received from Steven at his house in Mossdeep City (after entering the Hall of Fame),Received from Steven at his house in Mossdeep City (after entering the Hall of Fame),Received from Steven at his house in Mossdeep City (after entering the Hall of Fame),Trade,Trade,Trade,Trade
Metang,#0375,False,Evolve Beldum,Evolve Beldum,Evolve Beldum,Trade,Trade,Trade,Trade
Metagross,#0376,False,Evolve Metang,Evolve Metang,Evolve Metang,Trade,Trade,Tower Colosseum (Shadow),Trade
Regirock,#0377,False,Desert Ruins (Only one),Desert Ruins (Only one),Desert Ruins (Only one),Trade,Trade,Trade,Trade
Regice,#0378,False,Island Cave (Only one),Island Cave (Only one),Island Cave (Only one),Trade,Trade,Trade,Trade
Registeel,#0379,False,Ancient Tomb (Only one),Ancient Tomb (Only one),Ancient Tomb (Only one),Trade,Trade,Trade,Trade
Latias,#0380,False,Southern Island (requires Eon Ticket) (Only one),Roaming Hoenn (Only one),Roaming Hoenn or Southern Island (requires Eon Ticket) (Only one),Trade,Trade,Trade,Trade
Latios,#0381,False,Roaming Hoenn (Only one),Southern Island (requires Eon Ticket) (Only one),Roaming Hoenn or Southern Island (requires Eon Ticket) (Only one),"Trade, Event","Trade, Event",Trade,Trade
Kyogre,#0382,False,Trade,Cave of Origin (Only one),Marine Cave (Only one),Trade,Trade,Trade,Trade
Groudon,#0383,False,Cave of Origin (Only one),Trade,Terra Cave (Only one),Trade,Trade,Trade,Trade
Rayquaza,#0384,False,Sky Pillar (Only one),Sky Pillar (Only one),Sky Pillar (Only one),Trade,Trade,Trade,Trade
Jirachi,#0385,False,Pokémon Colosseum Bonus Disc (U S) Pokémon Channel (E U),Pokémon Colosseum Bonus Disc (U S) Pokémon Channel (E U),"Trade, Event","Trade, Event","Trade, Event",Trade,Trade
Deoxys,#0386,False,"Trade, Event","Trade, Event",Birth Island (requires Aurora Ticket) (Only one),Birth Island (requires Aurora Ticket) (Only one),Birth Island (requires Aurora Ticket) (Only one),Trade,Trade
