Pokemon,No.,Caught?,Scarlet,Violet,The Hidden Treasure of Area Zero,The Hidden Treasure of Area Zero (Scarlet),The Hidden Treasure of Area Zero (Violet)
Makuhita,#0296,False,"South Province: Area One, Area Three, Area Five East Province: Area One, Area Two, Area Three West Province: Area One, Asado Desert Tera Raid Battles (1★, 3★)


","South Province: Area One, Area Three, Area Five East Province: Area One, Area Two, Area Three West Province: Area One, Asado Desert Tera Raid Battles (1★, 3★)


",,,
Hariyama,#0297,False,"South Province: Area Three, Area Six, Alfornada Cavern East Province: Area Three West Province: Area Two, Area Three North Province: Area Three, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (5★)


","South Province: Area Three, Area Six, Alfornada Cavern East Province: Area Three West Province: Area Two, Area Three North Province: Area Three, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (5★)


",,,
Azurill,#0298,False,"South Province: Area One, Area Two, Area Five East Province: Area One Tera Raid Battles (1★)


","South Province: Area One, Area Two, Area Five East Province: Area One Tera Raid Battles (1★)


",,,
Nosepass,#0299,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Oni Mountain, Oni's Maw, Wistful Fields, Paradise Barrens, Kitakami Wilds Tera Raid Battles (3★)


",,
Skitty,#0300,False,"Unobtainable


","Unobtainable


",,,
Delcatty,#0301,False,"Unobtainable


","Unobtainable


",,,
Sableye,#0302,False,"South Province: Area Six, Alfornada Cavern East Province: Area Three West Province: Area One, Area Two North Province: Area One, Dalizapa Passage Area Zero Tera Raid Battles (3★, 5★)


","South Province: Area Six, Alfornada Cavern East Province: Area Three West Province: Area One, Area Two North Province: Area One, Dalizapa Passage Area Zero Tera Raid Battles (3★, 5★)


",,,
Mawile,#0303,False,"Unobtainable


","Unobtainable


",,,
Aron,#0304,False,"Unobtainable


","Unobtainable


",,,
Lairon,#0305,False,"Unobtainable


","Unobtainable


",,,
Aggron,#0306,False,"Unobtainable


","Unobtainable


",,,
Meditite,#0307,False,"South Province: Area Four, Area Six, Alfornada Cavern West Province: Area Two Area Zero Tera Raid Battles (2★)


","South Province: Area Four, Area Six, Alfornada Cavern West Province: Area Two Area Zero Tera Raid Battles (2★)


",,,
Medicham,#0308,False,"South Province: Area Six, Alfornada Cavern Area Zero Tera Raid Battles (4★)


","South Province: Area Six, Alfornada Cavern Area Zero Tera Raid Battles (4★)


",,,
Electrike,#0309,False,"Unobtainable


","Unobtainable


",,,
Manectric,#0310,False,"Unobtainable


","Unobtainable


",,,
Plusle,#0311,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (3★)


",,
Minun,#0312,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (3★)


",,
Volbeat,#0313,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Apple Hills, Loyalty Plaza, Reveler's Road, Mossfell Confluence, Fellhorn Gorge, Wistful Fields, Kitakami Wilds, Timeless Woods Tera Raid Battles (2★, 4★)


",,
Illumise,#0314,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Apple Hills, Loyalty Plaza, Reveler's Road, Mossfell Confluence, Fellhorn Gorge, Wistful Fields, Kitakami Wilds, Timeless Woods Tera Raid Battles (2★, 4★)


",,
Roselia,#0315,False,"Unobtainable


","Unobtainable


",,,
Gulpin,#0316,False,Union Circle Tera Raid Battle Search (2★),South Province: Area Three East Province: Area One Tera Raid Battles (2★),"Trade with Jacq


",,
Swalot,#0317,False,Union Circle Tera Raid Battle Search (4★),North Province: Casseroya Lake Tera Raid Battles (4★),"Evolve Jacq's Gulpin


",,
Carvanha,#0318,False,"Unobtainable


","Unobtainable


",,,
Sharpedo,#0319,False,"Unobtainable


","Unobtainable


",,,
Wailmer,#0320,False,"Unobtainable


","Unobtainable


",,,
Wailord,#0321,False,"Unobtainable


","Unobtainable


",,,
Numel,#0322,False,West Province: Area One Area Zero Tera Raid Battles (3★),West Province: Area One Area Zero Tera Raid Battles (3★),"Coastal Biome, Torchlit Labyrinth, Polar Biome


",,
Camerupt,#0323,False,North Province: Area Two Area Zero Tera Raid Battles (5★),North Province: Area Two Area Zero Tera Raid Battles (5★),"Coastal Biome, Torchlit Labyrinth, Polar Biome


",,
Torkoal,#0324,False,"East Province: Area Three West Province: Area One (Normal Tera Type) Tera Raid Battles (4★, 6★)","East Province: Area Three West Province: Area One (Normal Tera Type) Tera Raid Battles (4★, 6★)","Coastal Biome, Torchlit Labyrinth


",,
Spoink,#0325,False,South Province: Area Three Tera Raid Battles (2★),South Province: Area Three Tera Raid Battles (2★),"Oni Mountain, Infernal Pass, Chilling Waterhead, Wistful Fields, Paradise Barrens


",,
Grumpig,#0326,False,"South Province: Area Four North Province: Area One, Area Two, Dalizapa Passage Tera Raid Battles (4★)","South Province: Area Four North Province: Area One, Area Two, Dalizapa Passage Tera Raid Battles (4★)","Evolve Spoink


",,
Spinda,#0327,False,"Unobtainable


","Unobtainable


",,,
Trapinch,#0328,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome Tera Raid Battles (2★)


",,
Vibrava,#0329,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome Tera Raid Battles (4★)


",,
Flygon,#0330,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome Tera Raid Battles (5★, 6★)


",,
Cacnea,#0331,False,"West Province: Asado Desert Tera Raid Battles (2★)


","West Province: Asado Desert Tera Raid Battles (2★)


",,,
Cacturne,#0332,False,"West Province: Asado Desert Tera Raid Battles (4★)


","West Province: Asado Desert Tera Raid Battles (4★)


",,,
Swablu,#0333,False,"South Province: Area Three, Area Four, Area Five, Area Six East Province: Area One West Province: Area One North Province: Casseroya Lake Tera Raid Battles (1★)","South Province: Area Three, Area Four, Area Five, Area Six East Province: Area One West Province: Area One North Province: Casseroya Lake Tera Raid Battles (1★)","Canyon Biome


",,
Altaria,#0334,False,"South Province: Area Six West Province: Area Three North Province: Area One, Area Two, Casseroya Lake West Province: Area One (Fairy Tera Type) Tera Raid Battles (5★)","South Province: Area Six West Province: Area Three North Province: Area One, Area Two, Casseroya Lake West Province: Area One (Fairy Tera Type) Tera Raid Battles (5★)","Canyon Biome


",,
Zangoose,#0335,False,"South Province: Area Three, Area Five Tera Raid Battles (3★, 4★)","South Province: Area Three, Area Five Tera Raid Battles (3★, 4★)","Coastal Biome, Torchlit Labyrinth


",,
Seviper,#0336,False,"South Province: Area Three, Area Five Tera Raid Battles (3★, 4★)","South Province: Area Three, Area Five Tera Raid Battles (3★, 4★)","Coastal Biome, Torchlit Labyrinth


",,
Lunatone,#0337,False,"Unobtainable


","Unobtainable


",,,
Solrock,#0338,False,"Unobtainable


","Unobtainable


",,,
Barboach,#0339,False,"South Province: Area Two, Area Four, Area Five East Province: Area Three, Tagtree Thicket West Province: Area Two Tera Raid Battles (1★)","South Province: Area Two, Area Four, Area Five East Province: Area Three, Tagtree Thicket West Province: Area Two Tera Raid Battles (1★)","Fellhorn Gorge, Oni Mountain, Crystal Pool


",,
Whiscash,#0340,False,"South Province: Area Six East Province: Tagtree Thicket West Province: Area Three North Province: Area One, Glaseado Mountain Tera Raid Battles (4★)","South Province: Area Six East Province: Tagtree Thicket West Province: Area Three North Province: Area One, Glaseado Mountain Tera Raid Battles (4★)","Fellhorn Gorge, Oni Mountain, Kitakami Wilds


",,
Corphish,#0341,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road,  Reveler's Road, Mossfell Confluence, Fellhorn Gorge Tera Raid Battles (2★)


",,
Crawdaunt,#0342,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Fellhorn Gorge Tera Raid Battles (4★, 6★)


",,
Baltoy,#0343,False,"Unobtainable


","Unobtainable


",,,
Claydol,#0344,False,"Unobtainable


","Unobtainable


",,,
Lileep,#0345,False,"Unobtainable


","Unobtainable


",,,
Cradily,#0346,False,"Unobtainable


","Unobtainable


",,,
Anorith,#0347,False,"Unobtainable


","Unobtainable


",,,
Armaldo,#0348,False,"Unobtainable


","Unobtainable


",,,
Feebas,#0349,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Oni Mountain, Crystal Pool Tera Raid Battles (2★, 3★)


",,
Milotic,#0350,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★, 6★)


",,
Castform,#0351,False,"Unobtainable


","Unobtainable


",,,
Kecleon,#0352,False,"Unobtainable


","Unobtainable


",,,
Shuppet,#0353,False,"East Province: Area One, Area Two, Area Three Tera Raid Battles (2★)


","East Province: Area One, Area Two, Area Three Tera Raid Battles (2★)


",,,
Banette,#0354,False,"South Province: Alfornada Cavern North Province: Glaseado Mountain Tera Raid Battles (4★)


","South Province: Alfornada Cavern North Province: Glaseado Mountain Tera Raid Battles (4★)


",,,
Duskull,#0355,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Fellhorn Gorge, Oni Mountain, Infernal Pass, Crystal Pool, Chilling Waterhead, Kitakami Wilds, Timeless Woods Tera Raid Battles (2★)


",,
Dusclops,#0356,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Wilds, Timeless Woods Tera Raid Battles (4★)


",,
Tropius,#0357,False,"West Province: Area Two, Area Three North Province: Casseroya Lake Tera Raid Battles (4★)


","West Province: Area Two, Area Three North Province: Casseroya Lake Tera Raid Battles (4★)


",,,
Chimecho,#0358,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Oni Mountain, Infernal Pass, Crystal Pool Tera Raid Battles (4★)


",,
Absol,#0359,False,"Unobtainable


","Unobtainable


",,,
Wynaut,#0360,False,"Unobtainable


","Unobtainable


",,,
Snorunt,#0361,False,"North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (2★)","North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (2★)","Oni Mountain, Chilling Waterhead


",,
Glalie,#0362,False,North Province: Glaseado Mountain Tera Raid Battles (5★),North Province: Glaseado Mountain Tera Raid Battles (5★),"Evolve Snorunt


",,
Spheal,#0363,False,"Unobtainable


","Unobtainable


",,,
Sealeo,#0364,False,"Unobtainable


","Unobtainable


",,,
Walrein,#0365,False,"Unobtainable


","Unobtainable


",,,
Clamperl,#0366,False,"Unobtainable


","Unobtainable


",,,
Huntail,#0367,False,"Unobtainable


","Unobtainable


",,,
Gorebyss,#0368,False,"Unobtainable


","Unobtainable


",,,
Relicanth,#0369,False,"Unobtainable


","Unobtainable


",,,
Luvdisc,#0370,False,South Province: South Paldean Sea East Province: East Paldean Sea West Province: West Paldean Sea Tera Raid Battles (2★),South Province: South Paldean Sea East Province: East Paldean Sea West Province: West Paldean Sea Tera Raid Battles (2★),"Coastal Biome


",,
Bagon,#0371,False,Union Circle Tera Raid Battle Search (3★),"South Province: Area One, Area Three, Alfornada Cavern East Province: Area Three West Province: Area Two North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (3★)


",,,
Shelgon,#0372,False,Union Circle Tera Raid Battle Search (4★),"South Province: Alfornada Cavern North Province: Area Two Tera Raid Battles (4★)


",,,
Salamence,#0373,False,"Tera Raid Battle Search (5★, 6★)","Tera Raid Battles (5★, 6★)


",,,
Beldum,#0374,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (3★)


",,
Metang,#0375,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (4★)


",,
Metagross,#0376,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Tera Raid Battles (5★, 6★)


",,
Regirock,#0377,False,"Pokémon HOME Version 3.0.0+


","Pokémon HOME Version 3.0.0+


",,,
Regice,#0378,False,"Pokémon HOME Version 3.0.0+


","Pokémon HOME Version 3.0.0+


",,,
Registeel,#0379,False,"Pokémon HOME Version 3.0.0+


","Pokémon HOME Version 3.0.0+


",,,
Latias,#0380,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,South Province: Area Four after receiving the Latias Treat from Snacksworth (Only one) (Group Quest),"South Province: Area Four after receiving the Latias Treat from Snacksworth (Only one) (Solo Quest)


"
Latios,#0381,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,North Province: Area Two after receiving the Latios Treat from Snacksworth (Only one) (Solo Quest),"North Province: Area Two after receiving the Latios Treat from Snacksworth (Only one) (Group Quest)


"
Kyogre,#0382,False,Trade,Trade,,Casseroya Lake after receiving the Kyogre Treat from Snacksworth (Only one) (Group Quest),"Casseroya Lake after receiving the Kyogre Treat from Snacksworth (Only one) (Solo Quest)


"
Groudon,#0383,False,Trade,Trade,"Alfornada Cavern after receiving the Groudon Treat from Snacksworth (Only one)


",,
Rayquaza,#0384,False,"Trade, Poké Portal News","Trade, Poké Portal News","Great Crater of Paldea after receiving the Rayquaza Treat from Snacksworth (Only one) (Group Quest)


",,
Jirachi,#0385,False,"Pokémon HOME Version 2.0.1+


","Pokémon HOME Version 2.0.1+


",,,
Deoxys,#0386,False,"Pokémon HOME, Event Version 3.0.0+


","Pokémon HOME, Event Version 3.0.0+


",,,
Turtwig,#0387,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Received as an Egg from Jacq on Reveler's Road (random between Turtwig, Chimchar and Piplup) Canyon Biome, Chargestone Cavern (after boosting biodiversity in the Canyon Biome)


",,
Grotle,#0388,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Evolve Turtwig


",,
Torterra,#0389,False,"Trade Version 2.0.1+, Poké Portal News","Trade Version 2.0.1+, Poké Portal News","Evolve Grotle


",,
Chimchar,#0390,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Received as an Egg from Jacq on Reveler's Road (random between Turtwig, Chimchar and Piplup) Chargestone Cavern, Polar Biome (after boosting biodiversity in the Polar Biome)


",,
Monferno,#0391,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Evolve Chimchar


",,
Infernape,#0392,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Evolve Monferno


",,
Piplup,#0393,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Received as an Egg from Jacq on Reveler's Road (random between Turtwig, Chimchar and Piplup) Polar Biome (after boosting biodiversity in the Polar Biome)


",,
Prinplup,#0394,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Evolve Piplup


",,
Empoleon,#0395,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Evolve Prinplup


",,
Starly,#0396,False,"South Province: Area One, Area Two, Area Four Tera Raid Battles (1★)","South Province: Area One, Area Two, Area Four Tera Raid Battles (1★)","Kitakami Road, Apple Hills, Loyalty Plaza, Reveler's Road, Kitakami Hall, Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Kitakami Wilds


",,
Staravia,#0397,False,"South Province: Area Two, Area Four West Province: Area Two, Area Three Tera Raid Battles (3★)","South Province: Area Two, Area Four West Province: Area Two, Area Three Tera Raid Battles (3★)","Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Kitakami Wilds


",,
Staraptor,#0398,False,"South Province: Area Three North Province: Casseroya Lake Tera Raid Battles (5★, 6★)","South Province: Area Three North Province: Casseroya Lake Tera Raid Battles (5★, 6★)","Fellhorn Gorge, Oni Mountain, Kitakami Wilds


",,
Bidoof,#0399,False,"Unobtainable


","Unobtainable


",,,
Bibarel,#0400,False,"Unobtainable


","Unobtainable


",,,
Kricketot,#0401,False,South Province: Area Two Tera Raid Battles (1★),South Province: Area Two Tera Raid Battles (1★),"Reveler's Road, Kitakami Hall, Mossfell Confluence, Oni Mountain


",,
Kricketune,#0402,False,North Province: Area Two Tera Raid Battles (3★),North Province: Area Two Tera Raid Battles (3★),"Reveler's Road, Kitakami Hall, Mossfell Confluence, Oni Mountain


",,
Shinx,#0403,False,South Province: Area Three South Province: Area Five (Ice Tera Type) Tera Raid Battles (2★),South Province: Area Three South Province: Area Five (Ice Tera Type) Tera Raid Battles (2★),"Fellhorn Gorge, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods


",,
Luxio,#0404,False,"South Province: Area Three, Area Five Tera Raid Battles (3★)","South Province: Area Three, Area Five Tera Raid Battles (3★)","Fellhorn Gorge, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods


",,
Luxray,#0405,False,South Province: Area Five North Province: Area Two Tera Raid Battles (5★),South Province: Area Five North Province: Area Two Tera Raid Battles (5★),"Fellhorn Gorge, Kitakami Wilds, Timeless Woods


",,
Budew,#0406,False,"Unobtainable


","Unobtainable


",,,
Roserade,#0407,False,"Unobtainable


","Unobtainable


",,,
Cranidos,#0408,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,Canyon Biome Tera Raid Battles (3★),"Union Circle Tera Raid Battle Search (3★)


"
Rampardos,#0409,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,Tera Raid Battles (4★),"Tera Raid Battle Search (4★)


"
Shieldon,#0410,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,Union Circle Tera Raid Battle Search (3★),"Canyon Biome Tera Raid Battles (3★)


"
Bastiodon,#0411,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,Tera Raid Battle Search (4★),"Tera Raid Battles (4★)


"
Burmy,#0412,False,"Unobtainable


","Unobtainable


",,,
Wormadam,#0413,False,"Unobtainable


","Unobtainable


",,,
Mothim,#0414,False,"Unobtainable


","Unobtainable


",,,
Combee,#0415,False,"South Province: Area One, Area Two, Area Four East Province: East Paldean Sea West Province: Area One Tera Raid Battles (1★)


","South Province: Area One, Area Two, Area Four East Province: East Paldean Sea West Province: Area One Tera Raid Battles (1★)


",,,
Vespiquen,#0416,False,"South Province: Area Two, Area Six East Province: East Paldean Sea West Province: Area One North Province: Area One, Area Two, Area Three Tera Raid Battles (4★)


","South Province: Area Two, Area Six East Province: East Paldean Sea West Province: Area One North Province: Area One, Area Two, Area Three Tera Raid Battles (4★)


",,,
Pachirisu,#0417,False,"South Province: Area One, Area Two, Area Three, Area Four, Area Five East Province: Area Two West Province: Area Three Tera Raid Battles (3★)","South Province: Area One, Area Two, Area Three, Area Four, Area Five East Province: Area Two West Province: Area Three Tera Raid Battles (3★)","Reveler's Road, Kitakami Hall, Mossfell Confluence, Oni Mountain, Kitakami Wilds, Timeless Woods


",,
Buizel,#0418,False,"South Province: Poco Path, Area One, Area Two, Area Four, Area Five, South Paldean Sea East Province: Area Two, Area Three, East Paldean Sea, Tagtree Thicket West Province: Area One, Area Two, West Paldean Sea Area Zero West Province: Area One (Ice Tera Type) Tera Raid Battles (2★)


","South Province: Poco Path, Area One, Area Two, Area Four, Area Five, South Paldean Sea East Province: Area Two, Area Three, East Paldean Sea, Tagtree Thicket West Province: Area One, Area Two, West Paldean Sea Area Zero West Province: Area One (Ice Tera Type) Tera Raid Battles (2★)


",,,
Floatzel,#0419,False,"South Province: South Paldean Sea East Province: East Paldean Sea West Province: Area Two, Area Three, West Paldean Sea North Province: North Paldean Sea, Glaseado Mountain Tera Raid Battles (4★)


","South Province: South Paldean Sea East Province: East Paldean Sea West Province: Area Two, Area Three, West Paldean Sea North Province: North Paldean Sea, Glaseado Mountain Tera Raid Battles (4★)


",,,
Cherubi,#0420,False,"Unobtainable


","Unobtainable


",,,
Cherrim,#0421,False,"Unobtainable


","Unobtainable


",,,
Shellos,#0422,False,"South Province: Area Five (East Sea) East Province: Area One (East Sea) West Province: Area Two (West Sea) Tera Raid Battles (2★) (West V/ East S Sea)


","South Province: Area Five (East Sea) East Province: Area One (East Sea) West Province: Area Two (West Sea) Tera Raid Battles (2★) (West V/ East S Sea)


",,,
Gastrodon,#0423,False,"North Province: Area One, Area Three (East Sea) North Province: Casseroya Lake (West Sea) Tera Raid Battles (4★) (West V/ East S Sea)


","North Province: Area One, Area Three (East Sea) North Province: Casseroya Lake (West Sea) Tera Raid Battles (4★) (West V/ East S Sea)


",,,
Ambipom,#0424,False,Trade Version 2.0.1+,Trade Version 2.0.1+,,"Tera Raid Battle Search (5★, 6★)","Tera Raid Battles (5★, 6★)


"
Drifloon,#0425,False,"South Province: Area One, Area Two, Area Three, Area Four, Area Five, Area Six East Province: Area Two, Tagtree Thicket West Province: Area One North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (2★)","Union Circle Tera Raid Battle Search (2★)


",,,
Drifblim,#0426,False,"South Province: Cortondo, Alfornada Cavern East Province: Tagtree Thicket North Province: Area One, Area Two, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (4★, 5★)","Union Circle Tera Raid Battle Search (4★, 5★)


",,,
Buneary,#0427,False,"Unobtainable


","Unobtainable


",,,
Lopunny,#0428,False,"Unobtainable


","Unobtainable


",,,
Mismagius,#0429,False,Union Circle Tera Raid Battle Search (5★),"South Province: Alfornada Cavern North Province: Area One, Area Two, Casseroya Lake, Glaseado Mountain Tera Raid Battles (5★)


",,,
Honchkrow,#0430,False,"South Province: Area Six North Province: Area One, Area Two, Area Three, Casseroya Lake, Socarrat Trail, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (5★)


","South Province: Area Six North Province: Area One, Area Two, Area Three, Casseroya Lake, Socarrat Trail, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (5★)


",,,
Glameow,#0431,False,"Unobtainable


","Unobtainable


",,,
Purugly,#0432,False,"Unobtainable


","Unobtainable


",,,
Chingling,#0433,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Oni Mountain, Infernal Pass, Crystal Pool, Chilling Waterhead Tera Raid Battles (1★, 3★)


",,
Stunky,#0434,False,"South Province: Area Three, Area Five West Province: Area Two Tera Raid Battles (2★)","Union Circle Tera Raid Battle Search (2★)


",,,
Skuntank,#0435,False,North Province: Casseroya Lake Tera Raid Battles (4★),"Union Circle Tera Raid Battle Search (4★)


",,,
Bronzor,#0436,False,"South Province: Area Two, Area Three, Area Four, Area Five East Province: Area Two West Province: Area One, Area Two Tera Raid Battles (3★)","South Province: Area Two, Area Three, Area Four, Area Five East Province: Area Two West Province: Area One, Area Two Tera Raid Battles (3★)","Fellhorn Gorge, Oni Mountain, Infernal Pass, Crystal Pool, Chilling Waterhead, Wistful Fields, Paradise Barrens, Kitakami Wilds


",,
Bronzong,#0437,False,"South Province: Area Six North Province: Area Two, Casseroya Lake, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (5★)","South Province: Area Six North Province: Area Two, Casseroya Lake, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (5★)","Oni Mountain


",,
Bonsly,#0438,False,"South Province: Area One, Area Two, Los Platos, Cortondo Tera Raid Battles (1★)","South Province: Area One, Area Two, Los Platos, Cortondo Tera Raid Battles (1★)","Apple Hills, Reveler's Road, Oni Mountain, Oni's Maw, Wistful Fields, Paradise Barrens


",,
Mime Jr.,#0439,False,"Unobtainable


","Unobtainable


",,,
Happiny,#0440,False,"South Province: Area One, Area Two, Area Three, Area Five, Pokémon League West Province: Area One","South Province: Area One, Area Two, Area Three, Area Five, Pokémon League West Province: Area One","Savanna Biome, Coastal Biome, Torchlit Labyrinth


",,
Chatot,#0441,False,"Unobtainable


","Unobtainable


",,,
Spiritomb,#0442,False,"North Province: Glaseado Mountain (fixed encounter locations only), Casseroya Lake (fixed encounter location only) (snowfield area), Area One (fixed encounter location only) (snowfield area)


","North Province: Glaseado Mountain (fixed encounter locations only), Casseroya Lake (fixed encounter location only) (snowfield area), Area One (fixed encounter location only) (snowfield area)


",,,
Gible,#0443,False,"South Province: Alfornada Cavern West Province: Area One, Area Two Area Zero Tera Raid Battles (3★)","South Province: Alfornada Cavern West Province: Area One, Area Two Area Zero Tera Raid Battles (3★)","Oni Mountain, Crystal Pool, Wistful Fields, Paradise Barrens


",,
Gabite,#0444,False,"South Province: Area Six, Alfornada Cavern West Province: Area Two North Province: Area Two, Dalizapa Passage, Glaseado Mountain Area Zero Tera Raid Battles (4★)","South Province: Area Six, Alfornada Cavern West Province: Area Two North Province: Area Two, Dalizapa Passage, Glaseado Mountain Area Zero Tera Raid Battles (4★)","Oni Mountain, Crystal Pool


",,
Garchomp,#0445,False,"West Province: Area Two (Water Tera Type) Great Crater of Paldea, Area Zero Tera Raid Battles (5★, 6★)","West Province: Area Two (Water Tera Type) Great Crater of Paldea, Area Zero Tera Raid Battles (5★, 6★)","Evolve Gabite


",,
Munchlax,#0446,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Apple Hills, Loyalty Plaza, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods Tera Raid Battles (2★, 3★) Gift from the Ogre Oustin' receptionist after completing the hardest level (Shiny)


",,
Riolu,#0447,False,"South Province: Area Two, Area Four North Province: Area One Tera Raid Battles (3★)


","South Province: Area Two, Area Four North Province: Area One Tera Raid Battles (3★)


",,,
Lucario,#0448,False,"North Province: Area One, Area Two North Province: Dalizapa Passage (Ice Tera Type)


","North Province: Area One, Area Two North Province: Dalizapa Passage (Ice Tera Type)


",,,
Hippopotas,#0449,False,"West Province: Asado Desert Tera Raid Battles (3★)


","West Province: Asado Desert Tera Raid Battles (3★)


",,,
Hippowdon,#0450,False,"West Province: Asado Desert Tera Raid Battles (5★, 6★)


","West Province: Asado Desert Tera Raid Battles (5★, 6★)


",,,
Skorupi,#0451,False,"Unobtainable


","Unobtainable


",,,
Drapion,#0452,False,"Unobtainable


","Unobtainable


",,,
Croagunk,#0453,False,"South Province: Area Five West Province: Area Two Tera Raid Battles (2★)


","South Province: Area Five West Province: Area Two Tera Raid Battles (2★)


",,,
Toxicroak,#0454,False,"North Province: Casseroya Lake Tera Raid Battles (4★)


","North Province: Casseroya Lake Tera Raid Battles (4★)


",,,
Carnivine,#0455,False,"Unobtainable


","Unobtainable


",,,
Finneon,#0456,False,"West Province: West Paldean Sea Tera Raid Battles (1★, 2★)","West Province: West Paldean Sea Tera Raid Battles (1★, 2★)","Coastal Biome, Polar Biome


",,
Lumineon,#0457,False,West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (4★),West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (4★),"Coastal Biome, Polar Biome


",,
Mantyke,#0458,False,"Unobtainable


","Unobtainable


",,,
Snover,#0459,False,North Province: Glaseado Mountain Tera Raid Battles (3★),North Province: Glaseado Mountain Tera Raid Battles (3★),"Chargestone Cavern, Polar Biome


",,
Abomasnow,#0460,False,North Province: Glaseado Mountain Tera Raid Battles (5★),North Province: Glaseado Mountain Tera Raid Battles (5★),"Chargestone Cavern, Polar Biome


",,
Weavile,#0461,False,North Province: Glaseado Mountain Tera Raid Battles (5★),North Province: Glaseado Mountain Tera Raid Battles (5★),"Evolve Sneasel


",,
Magnezone,#0462,False,"Great Crater of Paldea, Area Zero Tera Raid Battles (5★, 6★)


","Great Crater of Paldea, Area Zero Tera Raid Battles (5★, 6★)


",,,
Lickilicky,#0463,False,"Unobtainable


","Unobtainable


",,,
Rhyperior,#0464,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Tera Raid Battles (5★, 6★)


",,
Tangrowth,#0465,False,"Unobtainable


","Unobtainable


",,,
Electivire,#0466,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Tera Raid Battles (5★, 6★)


",,
Magmortar,#0467,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Tera Raid Battles (5★, 6★)


",,
Togekiss,#0468,False,"Unobtainable


","Unobtainable


",,,
Yanmega,#0469,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★, 6★)


",,
